"FRITTON HALL [YARMOUTH]",,,,,,,,,,,,
Grid ref,TG479005,Long,1.654778,Lat,52.545860,,,,,,,
Station no,1385,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.39,0.59,0.87,1.38,1.81,0.86,3.87,1.45,0.74,0.57,,
February,3.08,1.50,0.58,0.22,2.53,1.25,2.40,1.46,1.96,0.84,,
March,0.87,1.83,0.98,1.92,1.67,1.60,1.44,1.21,2.27,2.38,,
April,1.05,1.88,1.15,2.24,0.74,1.93,0.67,3.05,2.32,1.48,,
May,1.55,0.79,3.23,1.58,2.22,1.16,2.30,2.85,1.38,1.21,,
June,2.89,1.69,2.26,2.22,0.62,3.02,1.92,1.95,0.71,2.09,,
July,1.98,1.05,2.77,3.02,3.96,0.62,0.25,1.23,2.39,3.10,,
August,4.22,0.84,4.09,4.87,2.49,3.11,2.02,1.05,2.29,1.61,,
September,0.74,0.75,1.08,3.05,1.58,1.71,1.07,0.35,1.76,1.99,,
October,1.74,2.11,1.27,3.82,1.09,4.31,3.24,3.88,1.68,3.90,,
November,1.66,1.88,1.55,1.46,1.64,1.64,4.19,2.75,1.47,1.32,,
December,2.31,3.87,1.17,1.18,2.35,1.16,3.35,2.57,1.53,4.87,,
Total,24.48,18.78,21.00,26.96,22.70,22.37,26.72,23.80,20.50,25.36,,
Calc annual,24.48,18.78,21.00,26.96,22.70,22.37,26.72,23.80,20.50,25.36,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
