MIDHURST-HOLLIST,,,,,,,,,,,
Grid ref,SU881229,Long,-0.74589421,Lat,50.998758,Elevation,107,ft,,,
Station no,RR7806,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,3.93,4.63,1.98,2.9,,5.29,1.98,,,
February,,0.17,4.13,6.2,0.6,,2.22,5.06,,,
March,,1.71,1.9,2.51,1.8,,0.46,4.37,,,
April,,1.47,4.19,3.86,3.72,,3.41,1.95,,,
May,,2.31,1.34,2.95,4.61,,3.32,1.67,,,
June,,0.07,1.01,0.48,2.55,,2.29,3.19,,,
July,,0.32,4.91,1.07,5.21,,2.33,3.01,,,
August,,3.11,2.82,2.29,3.25,,1.43,4.21,,,
September,,1.01,1.94,2.36,5.5,,0.68,6.16,,,
October,,0.63,1.29,7.1,4.1,,2.41,2.57,,,
November,,2.41,2.64,1.85,2.92,,8.55,3.29,,,
December,,2.31,5.59,3.93,5.73,,0.32,4.74,,,
Total,,19.45,36.39,36.58,42.89,,32.71,42.2,,,
