LEITH (COLDSTREAM),,,,,,,,,,,
Grid ref,NT272762,Long,-3.1680364,Lat,55.973251,Elevation,20,ft,,,
Station no,RR4622,,,,,,,,,,
,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,
January,,,,,,1.41,,,,,
February,,,,,,0.86,,,,,
March,,,,,,0.2,,,,,
April,,,,,,1.24,,,,,
May,,,,,,2.01,,,,,
June,,,,,,1.24,,,,,
July,,,,,,0.07,,,,,
August,,,,,,2.24,,,,,
September,,,,,,1.32,,,,,
October,,,,,,2.6,,,,,
November,,,,,,1.97,,,,,
December,,,,,,2.34,,,,,
Total,,,,,,17.5,,,,,
,,,,,,,,,,,
"Observer, John Coldstream, lived at 114, Constitution Street so NGR for there",,,,,,,,,,,
