LOWERS DAM,,,,,,,,,,,,
Grid ref,NN597391,Long,-4.282218,Lat,56.522937,,,,,,,
Station no,5556/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,7.77,5.31,4.49,13.19,6.29,3.01,6.69,,
February,,,,6.28,3.79,2.46,5.77,3.31,4.94,5.86,,
March,,,,5.20,2.07,3.39,7.70,2.07,5.15,2.93,,
April,,,,2.71,4.83,3.13,3.35,3.66,6.08,7.31,,
May,,,,5.40,4.91,6.07,2.97,5.89,2.34,4.53,,
June,,,,4.27,3.49,4.82,3.86,4.67,4.09,3.76,,
July,,,,3.72,1.32,6.98,6.37,5.82,6.78,4.74,,
August,,,,6.08,2.05,8.02,6.51,8.57,4.47,5.13,,
September,,,,9.74,6.89,8.56,4.89,8.62,2.07,4.65,,
October,,,,14.08,6.27,6.30,8.75,7.08,7.36,5.52,,
November,,,,11.51,3.59,3.46,3.05,1.95,9.39,6.44,,
December,,,,13.94,12.48,12.97,9.74,8.62,11.50,9.01,,
Total,,,,90.70,57.00,70.65,76.15,66.55,67.18,66.57,,
Calc annual,0.00,0.00,0.00,90.70,57.00,70.65,76.15,66.55,67.18,66.57,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
