WANBOROUGH-GREYFRIARS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU945482,Long,-0.64809682,Lat,51.22518,Elevation,400,ft.,,,,,,,,,,,,
Station no,201/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,5.43,2.66,4.97,,2.48,2.79,5.59,2.03,1.76,2.53,,,,
February,,,,,,,4.06,0.5,1.49,,2.16,0.88,1.51,0.81,2.06,2.38,,,,
March,,,,,,,3.48,0.15,1.09,,3.28,1.78,0.5,0.19,0.77,1.3,,,,
April,,,,,,,2.37,0.15,2.88,,1.11,1.62,1.09,1.01,1.19,2.41,,,,
May,,,,,,,2.42,0.92,1.85,,2.44,3.48,2.74,0.45,1.52,3.78,,,,
June,,,,,,,1.77,0.53,1.35,,1.89,0.25,1.41,1.95,2.56,2.7,,,,
July,,,,,,,0.61,1.85,3.21,,2.6,1.91,1.68,1.66,6.02,2.18,,,,
August,,,,,,,1.31,1.5,2.12,,4.76,2.95,1.56,1.89,1.37,4.59,,,,
September,,,,,,,2.37,1.84,0.79,,0.14,1.3,1.81,2.43,2.57,4.7,,,,
October,,,,,,,3.14,2.69,5.18,,1.12,3.64,3.02,4.37,3.39,1.14,,,,
November,,,,,,,1.77,3.98,5.19,,3.22,1.65,1.47,4.13,0.9,4.84,,,,
December,,,,,,,4.05,2.98,0.89,,1.96,3.6,1.72,2.08,3.9,2.89,,,,
Total,,,,,,,32.78,19.75,31.01,,27.16,25.85,24.1,23,28.01,35.44,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Greyfriars at the stated altitude.,,,,,,,,,,,,,,,,,,,,
