BRAE,,,,,,,,,,
Grid ref,HU361656,Long,-1.347241,Lat,60.372762,Elevation,60,ft,,
Station no,5831/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.1,3.53
February,,,,,,,,3.2,2.2,3.9
March,,,,,,,,2.25,1.45,1.6
April,,,,,,,,1.75,3,3.25
May,,,,,,,,3.45,1.4,1.37
June,,,,,,,,0.55,1.55,0.6
July,,,,,,,,2.85,1.65,1
August,,,,,,,,3.15,1.75,0.75
September,,,,,,,,3.91,1.6,2.75
October,,,,,,,,5.25,3.45,2.45
November,,,,,,,,3.05,6.55,2.15
December,,,,,,,,5.42,6.7,
Total,,,,,,,,,34.4,
,,,,,,,,,,
BR 1958 NP inc,,,,,,,,,,
BR1959 NP too much est Ja Au Oct Est,,,,,,,,,,
BR 1960 NP inc,,,,,,,,,,
,,,,,,,,,,
Station no,5831/4,,,,,,,,,
Midas,14380,,,,,,,,,
Hyd stn,,,,,,,,,,
