ANNAN KINMOUNT,,,,,,,,,,
Grid ref,NY139687,Long,-3.3476903,Lat,55.005388,Elevation,140,ft,,
Station no,RR7313,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,5.47,6.63,3.06,3.63,2.08,,
February,,,,2.23,4.45,4.36,2.23,1.89,,
March,,,,1.04,3.58,2.81,4.94,1.16,,
April,,,,2.08,1.16,2.43,1.74,2.18,,
May,,,,2.08,4.11,3.09,4.88,1.12,,
June,,,,2.87,0.66,1.02,0.83,0.58,,
July,,,,4.5,6.67,3.92,4.92,3.45,,
August,,,,5.61,2.67,2.77,2.43,2.99,,
September,,,,4.31,2.98,5.9,5.36,4.23,,
October,,,,4.06,2.17,4.06,4.75,2.1,,
November,,,,4.18,2.81,2.7,3.31,2.55,,
December,,,,3.21,3.84,1.83,3.73,4.83,,
Total,,,,41.64,41.73,37.95,42.75,29.16,,
