MONMOUTH-DINGESTOW-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO449097,Long,-2.8001484,Lat,51.783235,Elevation,180,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,5.05,1.86,6.75,2.35,2.37,5.53,5.17,3.87,4.36,1.68,5.55,0.83,0.47,0.55,1.09,,,,,,,,
February,,,,,,,,1.3,1.82,3.73,3,2.13,4.6,1.78,2.95,2.01,3.41,1.45,2.02,4.69,4.49,4.08,,,,,,,,
March,,,,,,,,4.47,1.56,1.42,1.67,1.59,2.69,2.64,1.01,1.11,3.68,1.77,0.45,0.97,1.54,2.6,,,,,,,,
April,,,,,,,,2.05,1.5,0.96,0.38,2.27,3.24,0.7,1.99,2.04,2.77,3.34,3.33,1.87,1.75,0.76,,,,,,,,
May,,,,,,,,2.58,2.18,4.74,1.65,1.11,1.75,1.99,0.33,2.7,0.52,3.41,4.39,3.24,1.46,1.32,,,,,,,,
June,,,,,,,,0.36,0.56,1,0.1,2.33,2.9,3.11,0.89,4.58,1.09,3.04,3.8,5.29,3.13,3.09,,,,,,,,
July,,,,,,,,1.08,0.38,2.33,2.33,4.62,5.2,3.7,0.88,5.17,0.69,2.71,2.04,2.82,6.71,2.34,,,,,,,,
August,,,,,,,,1.6,3.7,2.22,1.92,1.89,2.49,3.19,2.85,2.37,2.81,3.96,5.45,6.2,0.33,4.92,,,,,,,,
September,,,,,,,,1,4.32,5.19,2.17,7.3,1.97,1.55,5.11,3.71,6.22,3.06,4.35,3.92,2.65,1.63,,,,,,,,
October,,,,,,,,2.83,2.09,2,4.86,3.57,3.98,2.63,3.36,5.27,3.3,3.52,3.47,0.89,5.76,1.95,,,,,,,,
November,,,,,,,,1.3,2.9,1.77,3.01,0.69,6.55,1.98,1.94,6.18,3.47,4.25,2.79,0.54,3.88,4.23,,,,,,,,
December,,,,,,,,1.23,6.9,5.41,1.33,2.62,4.03,0.63,3.14,1.66,7.66,2.11,2.16,0.92,2.65,2.22,,,,,,,,
Total,,,,,,,,24.85,29.77,37.52,24.77,32.49,44.93,29.07,28.32,41.16,37.3,38.17,35.08,31.82,34.9,30.23,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Dingestow Court. Stated altitude varies and has question marks; OS figure used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
