STRATH TAY LOGIERAIT,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 968 521,Long,-3.68529,Lat,56.649072,Elevation,313,ft,,,,,,,,,,,,
Station no,RR2890,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,3.33,5.01,4.02,5.35,5.48,2.4,1.67,4.23,5.44,3.16,,,,,
February,,,,,,2.56,3.73,2.92,4.03,3.38,5.68,4.08,6.08,0.75,1.66,,,,,
March,,,,,,1.5,4.31,2.61,3.67,0.76,0.49,2.03,1.82,1.98,2.63,,,,,
April,,,,,,0.55,1.49,3.21,4.02,1.3,0.79,2.55,1.05,0.78,1.25,,,,,
May,,,,,,2.24,0.8,2.82,2.44,0.73,1.9,0.69,2.4,2.43,1.02,,,,,
June,,,,,,0.32,1.64,1.89,1,2.11,0.75,2.18,5.2,1.4,1.37,,,,,
July,,,,,,4.1,3.16,6.07,0.58,1.48,0.86,4.06,3.41,4.06,3.58,,,,,
August,,,,,,4.7,3.66,3.32,4.81,0.88,2.12,3.28,2.88,2.67,3.06,,,,,
September,,,,,,0.56,4.34,2,3.03,4.12,3.54,1.19,4.79,3.31,3.8,,,,,
October,,,,,,4.16,3.21,2.89,2.77,3.29,4.08,3.25,4.98,4.2,4.02,,,,,
November,,,,,,2.98,2.76,0.52,3.14,2.5,1.82,1.16,5.8,1.38,,,,,,
December,,,,,,4.71,3.42,1.76,6.27,3.42,2.7,3.12,5.56,2.69,,,,,,
Total,,,,,,31.71,37.53,34.03,41.11,29.45,27.13,29.26,48.2,31.09,,,,,,
