GLOUCESTER LOWER BARTON STREET,,,,,,,,,,,,
Grid ref,SO841178,Long,-2.232279,Lat,51.858556,,,,,,,
Station no,RR6307,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.81,1.20,,,,,,,,,,
February,6.01,1.12,,,,,,,,,,
March,0.96,2.39,,,,,,,,,,
April,0.91,2.73,,,,,,,,,,
May,2.37,1.12,,,,,,,,,,
June,1.52,2.65,,,,,,,,,,
July,2.04,1.50,,,,,,,,,,
August,2.86,1.62,,,,,,,,,,
September,0.54,1.64,,,,,,,,,,
October,2.44,0.92,,,,,,,,,,
November,1.61,1.22,,,,,,,,,,
December,5.86,4.16,,,,,,,,,,
Total,29.93,22.27,,,,,,,,,,
Calc annual,29.93,22.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
