GLOUCESTER-LOWER-BARTON-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO8406117803,Long,-2.2328458,Lat,51.858582,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,2.9,2.08,4.43,2.21,0.58,0.78,2.6,2.12,0.97,1.6,1.74,3.09,0.62,2.16,0.4,3.67,2.81,1.2,,,,,,,,
February,,,,,1.45,3.75,0.67,0.53,1.39,1.34,0.55,0.01,1.32,2.63,1.92,0.1,0.29,2.79,1.17,2.93,6.01,1.12,,,,,,,,
March,,,,,2.37,0.91,2.46,1.1,2.78,3.73,0.85,1.99,0.78,0.13,1.41,2.1,2.24,3.5,0.48,0.54,0.96,2.39,,,,,,,,
April,,,,,1.27,2.21,2.19,1.44,1.83,3.79,0.88,0.99,0.98,0.01,2.14,2.25,0.78,1.12,2.11,2.45,0.91,2.73,,,,,,,,
May,,,,,0.53,2.28,4.51,2.22,1.88,3.8,1.69,3.69,1.69,1.35,2.75,0.48,0.18,1.14,3.28,2.06,2.37,1.12,,,,,,,,
June,,,,,3.29,2.02,1.68,1.49,2.56,0.26,2.6,1.29,1.91,1.77,2.14,1.17,2.5,2.03,1.17,1.55,1.52,2.65,,,,,,,,
July,,,,,3.32,0.18,3.45,0.72,4.91,2.01,2.98,2.44,2.09,2.66,2.18,2.59,1.17,0.58,0.9,0.59,2.04,1.5,,,,,,,,
August,,,,,1.86,2.14,1.47,1.55,1.45,2.12,2.29,5.44,2.78,2.16,2.25,2.6,1.64,3.97,3.42,2.55,2.86,1.62,,,,,,,,
September,,,,,0.95,3.36,2.34,2.11,0.83,1.81,1.03,1.28,2.52,0.73,3.15,1.08,5.2,2.49,0.62,1.26,0.54,1.64,,,,,,,,
October,,,,,0.83,2.22,4.16,2.1,0.51,2.33,1.05,6.8,1.52,1.84,3.75,2.69,2.67,1.26,3.97,2.16,2.44,0.92,,,,,,,,
November,,,,3.02,1.75,3.26,1.97,2.63,5.64,1.25,1.57,2.07,1.89,1.68,4.13,4.93,0.64,1.42,2.42,2.4,1.61,1.22,,,,,,,,
December,,,,0.44,2.37,0.85,3.34,1.85,2.72,1.45,0.77,3.4,0.68,2.64,2.13,1.85,2.69,3.67,2.71,1.82,5.86,4.16,,,,,,,,
Total,,,,,22.89,25.26,32.67,19.95,27.08,24.67,18.86,31.52,19.13,19.2,29.69,24.93,20.62,26.13,22.65,23.98,29.93,22.27,,,,,,,,
