"GLEN AFFRIC (CREAG NAN CALMAN)",,,,,,,,,,,,
Grid ref,NH185218,Long,-5.010145,Lat,57.250763,,,,,,,
Station no,5713/2/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.05,9.50,6.85,8.95,3.45,9.45,14.95,10.55,4.25,5.25,,
February,4.35,4.35,5.95,6.05,6.95,5.55,6.65,6.15,5.60,5.95,,
March,4.05,5.35,3.25,4.50,3.50,4.35,5.55,3.55,4.85,2.35,,
April,6.75,4.35,5.45,3.50,3.95,3.55,3.15,5.05,7.55,8.90,,
May,2.75,4.85,6.55,6.35,4.55,5.45,2.95,7.55,2.15,1.70,,
June,3.95,4.35,1.95,3.45,2.95,3.45,-999.00,3.75,5.45,2.68,,
July,4.55,3.75,5.35,3.75,1.05,5.25,5.15,3.95,7.45,3.42,,
August,5.50,6.55,6.65,5.95,2.25,7.35,7.35,5.75,5.55,6.65,,
September,5.55,5.50,5.50,9.15,7.55,5.75,5.15,5.55,2.55,3.50,,
October,3.95,9.45,4.75,12.95,8.55,8.05,10.25,12.75,9.45,3.50,,
November,8.55,5.25,11.75,8.75,4.35,9.85,4.55,2.85,8.95,6.20,,
December,11.50,8.75,8.15,17.75,13.15,12.85,10.85,5.25,8.55,8.68,,
Total,69.50,72.00,72.15,91.10,62.25,80.90,81.10,72.70,72.35,58.78,,
Calc annual,69.50,72.00,72.15,91.10,62.25,80.90,76.55,72.70,72.35,58.78,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,4.55,0.00,0.00,0.00,,
