STEWARTON FILTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS439478,Long,-4.485366,Lat,55.698459,Elevation,515,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,5.46,4.98,8.25,4,5.16,3.55,5.07,4.74,7.31,4.27,2.75,1.2,7.78,5.13,6.5,3.71,4.81,3.51,7.55,5.65,3.69,5.81,4.7,3.45,5.67,3.2,3.45,5.42,4.67,1.75,3.99
February,,,,,,,,,,,0.34,4.61,0.06,3.97,0.85,5.51,2.18,6.52,2.46,6.5,2.07,3.04,1.95,6.63,2.44,8.39,4.41,0.3,4.37,5.55,4.55,3.09,2.3,2.59,3.68,2.78,2.11,2.9,3.98,2.67,3.92
March,,,,,,,,,,,2.77,1.38,2.75,3.22,2.68,2.65,3.2,1.26,4.88,4.1,5.31,3.65,2.32,2.98,0.72,3.58,2.74,3.33,3.91,4.2,3.94,3.99,2.9,1.16,3.14,1.46,3.58,5.27,1.18,2.8,1.88
April,,,,,,,,,,,1.75,2.15,3.58,3.25,4.26,3.47,1.8,2.14,1.13,2.69,2.31,2.62,2.42,4.23,2.8,1.93,2.25,5.39,3.78,5.91,3.63,3.13,2.11,2.07,2.39,3.8,1.31,2.95,1.86,3.21,4.04
May,,,,,,,,,,,1.55,3.87,3.42,2.5,3.32,0.88,1.63,1.63,4.29,1.2,0.9,3.46,3.18,3.86,4.13,4.99,1.61,5.68,2.03,2.4,1.49,1.94,1.71,2.63,3.23,5.22,3.25,3.16,4.25,1.41,2.06
June,,,,,,,,,,,3.29,6.31,1.51,1.94,2.46,5.21,2.06,4.41,6.27,2.28,1.23,1.47,2.24,4.07,4.71,4.28,3.13,3.94,6.88,1.44,2.95,2.91,3.43,1.96,5.01,3.43,3.05,2.84,3.09,3.39,2.62
July,,,,,,,,,,,3.37,5.95,4.27,4.82,3.35,2.64,6.43,5.6,5.95,5.9,3.47,4.78,4.83,3.59,4.64,4.67,4.02,3.57,5.07,2.16,6.84,4.5,3.75,6.41,5.02,1.63,5.07,4.67,4.91,5.83,4.26
August,,,,,,,,,,,5.95,1.4,2.74,4.5,5.18,2.49,5.1,4.53,4.62,1.73,3.7,5.11,6.64,7.6,4.54,2.18,2.73,0.08,7.77,5.88,5.59,4.6,5.72,3.43,7.18,1.17,5.66,4.69,5.54,1.61,2.93
September,,,,,,,,,,,3.59,1.65,6.47,0.94,5.64,6.74,4.3,3.48,5.31,2.72,6.48,2.23,8.27,3.7,7.67,5.57,9.22,6.27,8.46,3.02,11.63,3.35,3.19,5.6,6.41,4.45,4.56,4.26,5.48,1.7,4.13
October,,,,,,,,,,,7.47,3.25,6.94,3.32,8.02,9.95,6.79,3.21,11.53,1.88,4.95,4.25,7.72,8.85,6.14,7.34,0.44,2.86,9.47,7.72,4.38,1.43,4.73,3.59,11.47,3.37,3.49,6.55,3.26,6.69,3.13
November,,,,,,,,,,,6.02,7.68,4.82,2.07,2.28,6.15,5.17,1.24,7.88,9.74,6.52,2.71,0.96,2.71,7.36,0.79,7.81,7.24,4.59,4.99,4.29,6.42,3.27,10.18,7.07,2.03,2.23,2.27,1.82,5.15,5.49
December,,,,,,,,,,,5.03,5.91,8.68,1.79,6.28,3.73,6.47,4.07,2.7,3.81,6.79,3.19,6.25,3.35,4.8,3.08,4.79,3.09,4.69,10.13,1.66,8.05,5.5,5.86,7.38,7.89,6.22,4.94,5.7,7.17,6.81
Total,,,,,,,,,,,46.59,49.14,53.49,36.32,49.48,52.97,50.2,42.83,64.33,46.82,46.48,37.71,54.56,56.7,56.45,50.51,47.96,45.26,68.57,59.05,54.64,49.22,43.31,48.93,67.65,40.43,43.98,49.92,45.74,43.38,45.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Oct Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947  Feb Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,647318,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
