"STEWARTON FILTERS",,,,,,,,,,,,
Grid ref,NS439478,Long,-4.485366,Lat,55.698459,,,,,,,
Station no,5243,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.81,4.70,3.45,5.67,3.20,3.45,5.42,4.67,1.75,3.99,,
February,3.09,2.30,2.59,3.68,2.78,2.11,2.90,3.98,2.67,3.92,,
March,3.99,2.90,1.16,3.14,1.46,3.58,5.27,1.18,2.80,1.88,,
April,3.13,2.11,2.07,2.39,3.80,1.31,2.95,1.86,3.21,4.04,,
May,1.94,1.71,2.63,3.23,5.22,3.25,3.16,4.25,1.41,2.06,,
June,2.91,3.43,1.96,5.01,3.43,3.05,2.84,3.09,3.39,2.62,,
July,4.50,3.75,6.41,5.02,1.63,5.07,4.67,4.91,5.83,4.26,,
August,4.60,5.72,3.43,7.18,1.17,5.66,4.69,5.54,1.61,2.93,,
September,3.35,3.19,5.60,6.41,4.45,4.56,4.26,5.48,1.70,4.13,,
October,1.43,4.73,3.59,11.47,3.37,3.49,6.55,3.26,6.69,3.13,,
November,6.42,3.27,10.18,7.07,2.03,2.23,2.27,1.82,5.15,5.49,,
December,8.05,5.50,5.86,7.38,7.89,6.22,4.94,5.70,7.17,6.81,,
Total,49.22,43.31,48.93,67.65,40.43,43.98,49.92,45.74,43.38,45.26,,
Calc annual,49.22,43.31,48.93,67.65,40.43,43.98,49.92,45.74,43.38,45.26,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
