SOUTH-HAYLING-LORIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ717993,Long,-0.98351,Lat,50.78884,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,673/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.98,3.4,5.07,2.95,3.71,3.25,5.41,2.2,1.64,2.08,-999,5.85,0.88,1.03,3.69,2.66,1.16,1.01,,,,,,
February,,,,,,,4.51,0.48,1.19,3.67,3.09,0.42,1.61,0.55,1.76,2.38,-999,1.35,1.13,5.75,6.27,0.92,1.13,2.85,,,,,,
March,,,,,,,3.53,0.35,1.1,2.86,3.4,2.76,0.67,0.17,1.05,0.98,6.27,0.72,1.57,1.29,4.31,2.93,0.41,3.22,,,,,,
April,,,,,,,1.9,0,2.36,0.87,0.96,1.41,0.93,1.33,1.11,2.15,1.8,1.68,1.19,1.8,2.1,1.49,1.48,0.34,,,,,,
May,,,,,,,1.8,1.55,1.09,0.53,1.87,2.87,2.67,0.55,1.71,3.21,0.85,2.38,1.42,1.31,2.23,2.01,2.27,2.34,,,,,,
June,,,,,,,0.74,0.47,0.97,0.13,1.03,0.51,1.31,1.2,1.8,2.54,1.43,1.6,0.5,1.03,1.16,1.39,1.53,2.54,,,,,,
July,,,,,,,1.39,1.31,2.14,2.76,3.03,1.23,2.06,2.14,4.64,1.58,1.08,1.08,0.39,3.78,2.19,0.29,2.4,3.09,,,,,,
August,,,,,,,1.11,1.1,1.43,0,2.96,2.51,0.94,1.71,1.51,4.15,0.81,3.37,0.81,2.43,4.15,1.51,1.73,2.32,,,,,,
September,,,,,,,1.78,1.17,0.83,1.61,0.55,2.28,1.41,1.74,1.43,2.76,1.18,1.42,2.9,2.66,3.22,5.15,3.02,2.61,,,,,,
October,,,,,,,2.2,3.37,5.07,3.88,0.56,3.47,3.3,3.89,3.15,0.63,1.09,1.58,7.18,0.5,1.01,3.74,3.19,2.67,,,,,,
November,,,,,,,1.78,4.47,5.56,8.87,2.64,1.34,1.5,4.63,0.16,4.34,1.4,1.73,3.7,5.41,7.68,4.03,1.62,5.02,,,,,,
December,,,,,,,5,2.64,1.72,2.19,1.63,3.58,2.66,2.48,3.78,3.01,2.88,3.57,2.1,2.47,3.24,3.31,0.73,2.78,,,,,,
Total,,,,,,,30.72,20.31,28.53,30.32,25.43,25.63,24.47,22.59,23.74,29.81,23.91,26.33,23.77,29.46,41.25,29.43,20.67,30.79,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loridge South Rd South Hayling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Census places it near to Osborne Cottage which is marked on OS 1875 map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Given elevation of 10ft a little low for this area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Mar 1 Gauge moved 0.25 miles SW from Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Feb Apportioned for snow Combined value 5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Dec Terminated Observer ill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
