STEVENAGE-BOTANY-BAY,,,,,,,,,,,,,,,,,,,,
Grid ref,TL257271,Long,-0.17329732,Lat,51.928232,Elevation,420,ft,,,,,,,,,,,,
Station no,971/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.23,1.53,2.66,1.8,1.06,1.18,,,,,,
February,,,,,,,,,1.25,3.77,4.37,0.69,1.81,2.04,,,,,,
March,,,,,,,,0.91,1.24,0.69,3.34,2.55,0.57,2.5,,,,,,
April,,,,,,,,1.29,1.68,2.04,3.03,1.55,2.32,0.39,,,,,,
May,,,,,,,,2.75,2.08,2.12,2.74,2.03,1.8,2.44,,,,,,
June,,,,,,,,2.57,1.05,1.02,0.85,1.52,1.93,2.64,,,,,,
July,,,,,,,,1.57,1.23,5.18,1.48,0.55,3.2,2.78,,,,,,
August,,,,,,,,3.12,1.27,3.09,4.44,3.49,1.85,3.38,,,,,,
September,,,,,,,,1.88,0.38,3.19,2.63,4.15,2.09,,,,,,,
October,,,,,,,,2.11,4.93,0.35,1.08,2.29,3.07,,,,,,,
November,,,,,,,,1.96,2.7,5.57,4.65,3.55,1.36,,,,,,,
December,,,,,,,,2.33,1.46,1.35,1.72,2.5,0.52,,,,,,,
Total,,,,,,,,,20.5,29.9,32.99,26.67,21.58,,,,,,,
