BRADFORD-ON-AVON-WINSLEY (SANATORIUM),,,,,,,,,,,,,,,,,,,,
Grid ref,ST795608,Long,-2.2957215,Lat,51.345908,Elevation,420,ft,,,,,,,,,,,,
Station no,1481/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.46,5.73,,3.99,2.15,5.63,,1.42,,,,,
February,,,,,,,,1.07,1.34,,2.93,0.53,1.43,,2.28,,,,,
March,,,,,,,,0.16,1.55,,3.54,1.45,0.93,,0.79,,,,,
April,,,,,,,,0.08,3.97,,1.53,1.32,0.68,,0.78,,,,,
May,,,,,,,,1.53,0.76,,1.54,4.66,2.65,,2.51,,,,,
June,,,,,,,,1.26,2.28,,1.84,0.38,0.83,,3.58,,,,,
July,,,,,,,,3.34,3.77,,1.89,2.17,2.42,,1.11,,,,,
August,,,,,,,,2.89,2.91,,5.59,3.21,3.57,,3.06,,,,,
September,,,,,,,,2.73,0.97,,0.43,1.24,3.98,,1.93,,,,,
October,,,,,,,,5,3.85,,1.78,3.5,2.97,,3.33,,,,,
November,,,,,,,,3.92,5.56,,1.73,1.41,1.8,,0.31,,,,,
December,,,,,,,,3.42,2.06,,1.73,4.26,1.62,,3.58,,,,,
Total,,,,,,,,28.86,34.75,,28.52,26.28,28.51,,24.68,,,,,
