BRADFORD-ON-AVON-WINSLEY (MURHILL HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,ST795606,Long,-2.2957099,Lat,51.34411,Elevation,270,ft,,,,,,,,,,,,
Station no,RR7091,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.84,2.39,1.8,2.78,1.76,0.64,0.62,2.51,,,,,,,,,
February,,,,3.59,1.8,2.57,0.41,0.62,1.34,1.38,0.68,,,,,,,,,
March,,,,0.83,1.85,0.96,1.3,1.8,2.48,2.48,0.99,,,,,,,,,
April,,,,0.49,1.52,1.91,2.41,0.81,2.15,3.03,1.07,,,,,,,,,
May,,,,1.33,1.47,2.58,4.65,1.46,0.86,3.92,2.25,,,,,,,,,
June,,,,2.63,3.94,1.14,0.84,1.57,3.1,1.29,,,,,,,,,,
July,,,,3.18,2.94,0.34,2.38,1.37,5.4,1.9,,,,,,,,,,
August,,,,1.27,0.92,2.43,1.76,1.66,1.78,2.77,,,,,,,,,,
September,,,,3.72,2.29,4.95,2.25,2.44,1.38,1.09,,,,,,,,,,
October,,,,2.94,0.79,3.94,3.98,2.15,0.94,3.04,,,,,,,,,,
November,,,,2.68,1.34,3.86,3.52,2.84,5.21,0.91,,,,,,,,,,
December,,,,0.87,2.71,1.17,3.77,1.82,2.5,1.38,,,,,,,,,,
Total,,,,26.37,23.96,27.65,30.05,20.3,27.78,23.81,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1890 values entered from notes at foot of TYR,,,,,,,,,,,,,,,,,,,,
