"MANCHESTER WITHINGTON - 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ845924,Long,-2.2347364,Lat,53.428158,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.54,3.75,4.07,1.57,4.54,2.05,1.43,1.08,3.15,2.14,2.81,1.39,2.19,2.39,0.99,1.34,1.65,3.73,3.74,1.68,2.54,2.57,2.51,1.97,3.86,1.33,2.13,1.6,3.2,,,,,,,,,
February,,,2.42,1.77,1.82,2.31,0.7,0.39,0.97,1.87,0.48,0.22,2.12,3.06,3.79,0.28,1.6,2.07,2.07,1.03,2.5,1.36,0.92,2.43,2.59,1.52,3.17,1.71,2.84,1.16,2.55,,,,,,,,,
March,,,2.03,1.06,2.06,2.05,1.91,1.49,1.57,3.05,2.6,1.44,0.91,0.48,2.4,2.72,3.79,2.08,1.17,1.65,0.63,1.97,1.65,3.49,1.8,3.2,2.52,2.61,2.4,2.56,,,,,,,,,,
April,,,3.64,1.71,0.72,1.21,1.58,1.63,1.45,2.09,0.59,1.92,1.24,0.7,1.71,1.67,1.6,2.31,1.85,2.43,1.95,2.14,1.93,1.61,2.05,2.38,1.5,1.11,1.94,2.92,,,,,,,,,,
May,,,1.31,0.79,1.43,2.22,5.72,2.39,0.91,2.27,2.06,2.21,3,1.77,2.19,0.58,0.54,1.8,3.07,2.47,1.41,0.83,4.36,2.94,2.13,0.67,2.6,3.86,2.18,1.53,,,,,,,,,,
June,,,6.2,3.34,0.75,3.37,1.44,1.12,3.07,0.58,3.25,2.29,3.58,1.3,2.93,2.24,2.75,3.47,3.14,1.65,3.1,1.64,1.07,1.38,0.72,2.53,1.2,4.85,2.24,1.92,,,,,,,,,,
July,,,5.09,3.12,3.81,1.13,3.55,0.75,5.28,3.09,2.78,2.22,3.39,2.79,2.68,5.28,1.6,1.73,0.7,2.28,2.55,3.44,1.87,2.98,1.26,2.42,1.89,3.05,4.66,4.73,,,,,,,,,,
August,,,2.59,2.46,1.77,2.09,1.4,1.69,3.1,5.61,3.72,5.38,4.09,2.13,3.92,2.81,2.47,3.45,5.74,1.4,3.85,1.41,3.29,3.61,4.16,4.98,2.54,3.36,3.06,2.86,,,,,,,,,,
September,,,2.17,4.58,2.87,4.08,3.28,3.51,0.91,2.49,0.83,2.93,3.51,3.99,0.94,1.39,5.05,3.79,0.58,4.94,0.96,0.71,0.82,4.52,1.31,2.18,1.85,0.73,3.02,2.07,,,,,,,,,,
October,,,3.12,4.59,2.19,5.37,5.39,2.13,1.55,2.87,2.04,4.56,4.05,2.32,3.21,3.1,4.06,1.87,3.73,3.14,3.38,2.94,3.73,6.06,1.14,2.53,5.64,3.07,1.49,5.17,,,,,,,,,,
November,,,5.02,3.24,1.68,2.71,2.14,0.91,4.41,2.04,4.41,2.21,2.28,1.99,1.71,2.47,1.2,4.74,1.82,1.14,1.62,3.38,1.6,3.22,2.22,2.99,2.28,2.33,2.55,1.1,,,,,,,,,,
December,,,4.76,2.26,3.5,2.08,4.08,2.37,2.12,2.22,0.38,4.74,2.06,3.29,2.51,3.37,3.41,3.22,3.59,2.09,3.52,4.36,2.25,1.02,2.49,0.45,3.64,2.57,2.48,6.26,,,,,,,,,,
Total,,,40.89,32.67,26.67,30.19,35.73,20.43,26.77,29.26,26.29,32.26,33.04,25.21,30.18,28.3,29.06,31.87,29.11,27.95,29.21,25.86,26.03,35.83,24.38,27.82,32.69,30.58,30.99,33.88,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_09_pt1-page-237.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_15_pt1-page-259.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_19_pt1-page-010.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_18_pt1-page-065.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
