MANCHESTER FERN BANK WITHINGTON - 40' NW of house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ845924,Long,-2.2347364,Lat,53.428158,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,2.32,3.02,3.51,1.46,4.47,3.01,1.53,0.59,0.46,2.58,3.85,4.13,1.61,4.67,2.07,1.46,1.09,3.15,2.2,2.82,1.41,2.18,2.41,1.03,1.39,1.67,3.87,4.11,1.73,2.51,2.54,2.48,1.97,,,,
February,,,,0.38,1.8,0.6,3.86,3.99,1.15,2.72,2.1,4.65,2.49,1.78,1.84,2.34,0.71,0.4,1,1.88,0.48,0.21,2.1,3.14,3.87,0.28,1.66,2.13,2.04,1.05,2.54,1.39,0.95,2.41,2.62,1.53,,,,
March,,,,2.29,2.83,0.56,3.46,2.16,1.56,1.38,2.15,3.97,2.07,1.05,2.1,2.07,1.97,1.52,1.63,3.12,2.63,1.44,0.94,0.46,2.41,2.72,3.84,2.08,1.17,1.69,0.67,2.01,1.61,3.43,1.83,3.14,,,,
April,,,,0.75,0.83,0.78,2.86,1.58,1.53,2.11,1.17,1.36,3.69,1.74,0.7,1.23,1.59,1.63,1.47,2.1,0.58,1.94,1.26,0.68,1.72,1.7,1.61,2.33,1.86,2.44,2.12,2.16,1.92,1.6,2.04,2.39,,,,
May,,,,1.79,1.21,1.63,1.19,3.2,3.62,1.98,2.52,3.28,1.34,0.8,1.46,2.24,5.91,2.46,0.88,2.29,2.11,2.26,3.04,1.8,2.2,0.58,0.54,1.8,3.06,2.51,1.52,0.85,4.33,2.99,2.12,0.66,,,,
June,,,,2.41,0.98,2.94,3.66,1.99,2.56,4.94,2.53,2.03,6.32,3.38,0.74,3.44,1.49,1.16,3.1,0.59,3.3,2.32,3.66,1.31,2.98,2.25,2.81,3.48,3.17,1.67,3.39,1.67,1.07,1.39,0.71,2.51,,,,
July,,,,3.68,1.6,4.45,2.82,4.97,1.42,3.32,5.87,2.42,5.22,3.18,3.86,1.15,3.66,0.77,5.31,3.09,2.79,2.24,3.47,2.83,2.76,5.45,1.64,1.73,0.67,2.31,2.79,3.56,1.87,3.02,1.27,2.42,,,,
August,,,,4.17,3.61,4.11,2.63,4.94,4.88,5.24,2.82,4.84,2.63,2.5,1.82,2.14,1.41,1.69,3.15,5.7,3.78,5.5,4.16,2.14,3.98,2.85,2.5,3.48,5.82,1.4,4.24,1.42,3.33,3.58,4.16,4.95,,,,
September,,,,2.11,3.29,4.66,3.74,2.42,4.36,2.9,4.2,2.35,2.23,4.63,2.93,4.16,3.37,3.57,0.91,2.52,0.84,2.9,3.61,4.13,0.93,1.38,5.16,3.82,0.6,5.03,1.01,0.68,0.83,4.54,1.32,2.18,,,,
October,,,,3.59,2.97,4.47,2.4,3.63,3.23,2.08,2.57,2.41,3.22,4.64,2.25,5.47,5.55,2.16,1.5,2.91,2.06,4.62,4.1,2.34,3.26,3.13,4.1,1.88,3.78,3.16,3.73,3.01,3.68,6.1,1.12,2.52,,,,
November,,,,2.17,4.12,3.62,3.1,4.65,2.23,0.94,3.32,3.3,5.2,3.32,1.68,2.8,2.2,0.9,4.42,2.04,4.41,2.22,2.32,2.08,1.7,2.52,1.22,4.8,1.84,1.2,1.81,3.44,1.54,3.24,2.19,2.91,,,,
December,,,,0.67,2.39,0.93,4.01,3.03,2.18,2.01,5.02,3.71,4.82,2.37,3.54,2.2,4.17,2.46,2.17,2.23,0.37,4.8,2.09,3.28,2.54,3.32,3.55,3.28,3.68,2.22,3.78,4.44,2.27,1.01,2.49,0.47,,,,
Total,,,,26.33,28.65,32.26,35.19,41.03,31.73,31.15,34.86,34.78,41.81,33.24,27.05,30.85,36.7,20.79,27,29.56,26.5,32.65,33.57,25.6,30.53,28.59,29.66,32.2,29.36,28.55,31.71,26.36,25.91,35.85,24.35,27.65,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_07_pt4-page-017.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_09_pt1-page-236.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_15_pt1-page-259.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_19_pt1-page-009.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
