"ARDKINGLAS",,,,,,,,,,,,
Grid ref,NN175104,Long,-4.947303,Lat,56.250954,,,,,,,
Station no,5428,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.33,6.29,5.96,7.99,4.82,6.55,12.27,11.02,3.10,5.88,,
February,6.13,6.23,4.94,7.34,6.27,2.54,6.92,3.88,3.59,6.59,,
March,5.16,8.00,2.87,6.13,2.59,4.58,7.79,1.80,7.27,3.26,,
April,6.41,4.16,5.35,3.49,6.47,2.52,3.29,3.73,7.13,7.87,,
May,2.03,2.53,3.80,4.93,4.71,5.16,2.28,5.48,3.12,4.70,,
June,2.44,5.57,1.26,4.55,5.31,5.11,3.75,2.69,4.22,4.89,,
July,5.58,4.09,7.77,4.94,1.14,6.86,6.00,3.85,7.57,6.06,,
August,6.26,6.97,7.20,5.74,2.47,7.19,6.59,6.64,3.58,3.32,,
September,7.36,4.43,10.62,9.54,7.97,5.76,4.55,6.19,2.11,4.10,,
October,3.46,9.02,6.82,12.37,7.44,5.49,8.99,8.03,8.26,3.78,,
November,14.67,2.61,13.74,15.26,4.93,5.23,3.05,2.46,9.16,10.45,,
December,14.01,9.02,8.17,13.53,12.26,13.97,12.94,9.86,15.85,10.57,,
Total,81.84,68.92,78.50,95.81,66.38,70.96,78.42,65.63,74.96,71.47,,
Calc annual,81.84,68.92,78.50,95.81,66.38,70.96,78.42,65.63,74.96,71.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
