"SHERBORNE (SEAFIELD COTTAGE)",,,,,,,,,,,,
Grid ref,ST644169,Long,-2.508161,Lat,50.950426,,,,,,,
Station no,1543/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.04,2.43,1.02,2.15,3.79,4.41,2.31,3.03,5.12,3.93,,
February,5.51,0.88,1.78,3.25,2.31,0.33,4.10,4.12,0.38,3.84,,
March,3.57,3.36,0.64,4.12,1.54,0.89,2.22,0.84,4.13,2.55,,
April,3.27,2.18,3.17,0.25,1.07,1.64,0.41,0.83,2.93,2.42,,
May,3.20,3.41,1.88,2.33,4.50,0.71,1.49,2.21,1.48,1.38,,
June,0.86,2.80,3.21,3.74,2.54,2.20,1.27,4.42,0.84,2.19,,
July,2.56,0.78,3.68,3.24,2.58,2.38,4.74,1.90,1.59,3.55,,
August,4.45,6.70,2.19,2.86,0.77,4.35,3.12,2.93,1.34,6.25,,
September,3.57,3.60,3.79,2.86,1.83,5.06,3.68,5.25,0.27,4.58,,
October,1.16,3.76,3.67,2.54,2.49,2.40,2.66,3.15,3.54,9.03,,
November,9.81,4.65,1.40,7.33,3.29,0.94,2.41,3.60,4.64,4.70,,
December,3.04,2.70,0.91,3.08,5.50,5.22,3.17,4.45,8.03,4.30,,
Total,44.04,37.25,27.34,37.75,32.21,30.53,31.58,36.73,34.29,48.72,,
Calc annual,44.04,37.25,27.34,37.75,32.21,30.53,31.58,36.73,34.29,48.72,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
