"STIRLING, ENDRICK LODGE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 78599 92363,Long,-3.953676,Lat,56.108545,Elevation,136,ft,,,,,,,,,,,,,
Station no,5357/7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,5.62,6.26,6.96,12.53,,,4.15,6.67,5.27,6.84,1.69,5.59,4.01,7.95,3.7,
February,,,,,,4.92,5.92,2.8,6.18,,,3.17,0.07,2.55,0.3,4.02,1.71,4.21,1.98,5.73,
March,,,,,,1.41,2.71,3.34,4.55,,,1.29,2.34,2.46,2.93,1.32,2.55,2.15,2.78,3.15,
April,,,,,,4.69,2.16,1.64,1.63,,,1.55,4.77,1.46,3.98,3.49,1.27,1.67,0.45,2.03,
May,,,,,,7.45,3.38,3.2,1.5,,,4.38,3.87,2.33,1.89,0.28,1.08,2.47,4.2,1.37,
June,,,,,,0.44,2.3,4.14,4.89,,,6.22,1.4,0.83,1.97,5.2,1.76,1.79,4.73,2.1,
July,,,,,,1.25,4.24,3.74,2.4,,,4.83,2.82,3.53,3.18,0.63,3.74,2.97,3.72,4.7,
August,,,,,,4.88,3.12,7.02,5.25,,,2.07,1.26,1.91,4.01,2.12,2.32,3.76,2.46,1.31,
September,,,,,,3.05,3.5,5.97,4.6,,,1.2,3.13,1,5.41,6.48,4.45,3.69,3.93,2.1,
October,,,,,,4.13,5.04,6.54,6.9,,,2.8,5.69,3.86,6.38,8.76,4.56,4.37,8.25,2.16,
November,,,,,,0.64,7.64,3.79,6.46,,,8.79,2.99,2.18,0.7,3.83,5.18,0.58,7.5,7.71,
December,,,,,,3.25,1,1.43,5.19,,,3.21,8.66,0.65,5.05,2.88,6.71,2.34,3.43,1.91,
Total,,,,,,41.73,47.27,50.57,62.08,,,43.66,43.67,28.03,42.64,40.7,40.92,34.01,51.38,37.97,
,,,,,,,,,,,,,,,,,,,,,
Deroran becomes Endrick,,,,,,,,,,,,,,,,,,,,,
https://canmore.org.uk/site/221157,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5357/7,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
