SKIDDAW FOREST SHEPHERDS LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THRELKELD (SKIDDAW HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NY287291,Long,-3.1065726,Lat,54.651936,Elevation,1480,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3604/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Station no,3604/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,6.5,0.33,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,January,,,8.75,10.8,4.65,7.7,,12.25,11.42,2.55,,,13.73,12.2,6.2,,2.9,11,4.6,4.6
February,,,,,,,,,,,5.45,0.45,,,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February,,,7.6,0.5,12.15,2.75,,4.1,11.13,1.5,,,7.4,4.3,11.21,,2.5,5.6,6.3,7.1
March,,,,,,,,,,,2.6,2.3,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March,,,4.8,3.35,1.8,3.5,,6.5,7.35,9.27,,,2.22,2,7.35,4,6.5,5.1,1.4,
April,,,,,,,,,,,4.62,1.43,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April,,,2.7,4.9,6.25,1.25,,1.5,4.45,3.65,3.5,,7.1,3.75,4.3,2.4,11.7,2.7,7.2,
May,,,,,,,,,,,5.93,6.19,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,,,3.6,5,1.4,2.2,,4.82,1.2,2.15,6.03,4.97,5.75,5.8,7.7,1.77,4.1,1.9,3.1,
June,,,,,,,,,,,8.78,5.56,6.79,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,,,3.75,4.1,5.8,4.9,4.45,12.63,6.7,1.62,0.87,3.6,8.05,10,4.9,3.5,7.1,13.3,0.9,
July,,,,,,,,,7.5,,9.12,4.45,3.37,,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July,,7.5,6.05,3.45,3.75,8.55,6.05,10.17,9.7,10.75,1.88,7.5,5.2,4.4,5.39,7,3.8,4.1,2.1,
August,,,,,,,,,4.82,,6.4,9.94,10.72,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August,,2.8,4.25,10.2,3.9,3.3,4.75,5.05,4.45,6.8,12.35,11.1,8.9,5.8,,12,0.2,7.3,3.5,
September,,,,,,,,,3.8,,4.75,7.84,5.96,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September,,8.1,1.7,9.45,11.05,,8.75,6.6,3.47,10.75,3.3,9.4,11.33,11.8,,9.55,5.4,8.3,2.2,
October,,,,,,,,,12,,3.65,8.14,4.53,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October,,11.8,5.7,11.85,13.5,,4.75,20.4,2.08,7.65,9.1,11,12.85,6.9,,3.3,1.1,5.3,8.5,
November,,,,,,,,,7.72,,12.71,5.35,3.86,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November,,5.15,2.35,2.4,6.85,,1.5,18.3,14.45,8.35,5.1,,5.5,13.8,,12.1,11.2,5.9,10.3,
December,,,,,,,,,7.85,,0.13,7.93,1.64,,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December,,10.55,1.05,10.2,4.25,,4.65,6.4,4.5,9.4,6.55,,4.1,6.8,,7.5,3.8,6.7,10.9,
Total,,,,,,,,,,40.72,70.64,,,,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,52.3,76.2,75.35,,,108.72,80.9,74.44,,,92.13,87.55,,,60.3,77.2,61,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941 Jan,Feb,Mar estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932 July estimated from other stations,,,,,,,,,,,,,,,,,,
"1942, 1945, 1946 - 100s transcribed therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long gap in records but the same house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
