"LAYER BRETON, RECTORY",,,,,,,,,,,,
Grid ref,TL947178,Long,0.823875,Lat,51.824885,,,,,,,
Station no,RR7409,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.72,0.50,0.44,1.76,2.77,,,,,,,
February,2.98,0.61,0.93,0.49,1.88,,,,,,,
March,1.02,1.75,1.17,2.03,1.49,,,,,,,
April,0.91,1.82,0.71,1.58,0.86,,,,,,,
May,0.85,1.16,2.85,3.50,1.74,,,,,,,
June,1.72,0.72,3.23,3.38,0.84,,,,,,,
July,0.79,2.69,0.92,3.90,1.65,,,,,,,
August,1.87,1.21,2.44,3.45,1.55,,,,,,,
September,1.01,1.05,1.91,2.04,0.87,,,,,,,
October,1.61,1.50,1.44,3.98,0.79,,,,,,,
November,1.66,0.76,0.89,2.61,0.93,,,,,,,
December,2.46,2.98,1.77,1.09,1.64,,,,,,,
Total,20.60,16.75,18.70,29.81,17.01,,,,,,,
Calc annual,20.60,16.75,18.70,29.81,17.01,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
