ADDINGTON-GOLF-CLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ365647,Long,-0.040652,Lat,51.36497,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,75/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.01,5.11,2.73,4.77,2.1,2.14,2.54,5.58,1.94,1.96,2.28,2.4,3.55,1.07,0.94,,,,,,,,,,
February,,,,,,1.78,4.74,0.74,1.39,1.81,2.38,0.6,1.74,0.83,1.53,2.42,1.94,1.15,1.4,4.52,,,,,,,,,,
March,,,,,,1.18,3.65,0.45,1.39,3.32,3.21,1.91,0.27,0.1,1.08,1.4,5.97,0.92,0.79,1.11,,,,,,,,,,
April,,,,,,1.64,2.67,0.26,2.69,2.28,1.36,1.6,1.11,1.38,,2.57,2.04,1.53,1.5,3.21,,,,,,,,,,
May,,,,,,0.36,2.28,1.79,2.01,1.25,2.08,3.22,2.65,0.4,,3.87,1.07,1.57,1.58,1.23,,,,,,,,,,
June,,,,,,3.12,2.22,0.6,1.17,1.73,2.15,0.71,1.11,1.96,,2.5,2.92,2.64,0.93,1.52,,,,,,,,,,
July,,,,,,3.62,0.64,1.7,2.75,2.79,2.45,2.01,1.7,1.83,3.76,1.97,2.05,1.3,0.81,2.66,,,,,,,,,,
August,,,,,,0.64,1.72,2.93,3.46,0.02,4.13,2.42,1.25,3.12,1.73,4.11,0.18,5.31,1.49,1.65,,,,,,,,,,
September,,,,,,2.63,1.69,3.01,1.61,1.43,0.67,1.96,1.62,3.19,1.6,2.09,1.08,1.69,0.62,2.61,,,,,,,,,,
October,,,,,,2.31,3.11,2.96,6.85,3.3,0.78,3.93,2.99,4.12,2.86,1.32,0.27,1.91,6.52,0.33,,,,,,,,,,
November,,,,,,4.26,2.1,3.67,4.6,7.54,3.09,1.91,1.25,4.14,0.27,3.87,0.75,1.76,2.59,5.8,,,,,,,,,,
December,,,,,,3.13,4.53,2.97,1.73,1.42,2.03,2.8,2.1,2.55,3.56,2.92,2.27,3.81,1.01,1.84,,,,,,,,,,
Total,,,,,,29.68,34.46,23.81,34.42,28.99,26.47,25.61,23.37,25.56,,31.32,22.94,27.14,20.31,27.42,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location unknown so NGR taken from sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Apr May June Estimated from nearby sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Dec In brackets nothing says if for snow or not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Not printed Too much estimation Which months estimated are not marked so whole year deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual average calculated to be about 1in low ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
