CARDROSS DUMBARTON BLOOMHILL,,,,,,,,,,
Grid ref,NS 35074 77392,Long,-4.643604,Lat,55.961136,Elevation,50,ft,,
Station no,RR4426,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,5,4.2,10.7,5.5,12,8.25
February,,,,,3.7,3.6,7.55,5.6,8.35,6.2
March,,,,,5.25,2.25,3.5,2.6,6.4,1.1
April,,,,,2,1,2.2,7.55,4.6,1.2
May,,,,,1.65,4.3,1.4,4.3,3.55,0.65
June,,,,,3.15,0.8,2.6,2,2.9,2.85
July,,,,,3.15,3.4,4.45,5.5,0.8,2
August,,,,,1.8,7.1,6.1,3.7,6.8,1.7
September,,,,,6.4,1.15,6.8,4.95,2.5,7.9
October,,,,,4,5.95,4.35,6.8,5.9,1.85
November,,,,,5.5,4.65,6,1.9,5.2,6.6
December,,,,,3.35,7,8.95,4.35,9.35,7.2
Total,,,,,44.95,45.4,64.6,54.75,68.35,47.5
,,,,,,,,,,
Location may link to ,,,,,,,,,,
CARDROSS-KILMAHEW,,,,,,,,,,
,,,,,,,,,,
Station no,RR4426,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
