LOCH AN EILEIN (ACHNAGOICHAN),,,,,,,,,,,,
Grid ref,NH913082,Long,-3.798387,Lat,57.151764,,,,,,,
Station no,5693/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.32,1.75,3.48,1.83,2.61,2.07,,
February,,,,,4.11,2.71,2.52,2.26,0.73,3.19,,
March,,,,,1.14,1.19,2.58,1.69,1.73,0.50,,
April,,,,,0.70,1.93,1.17,1.43,2.16,1.94,,
May,,,,,3.16,1.30,1.34,2.28,0.98,0.61,,
June,,,,,0.40,3.20,2.43,1.75,2.41,1.87,,
July,,,,,0.84,4.47,4.17,5.11,2.41,2.46,,
August,,,,,1.43,6.26,5.13,4.37,1.67,8.27,,
September,,,,,2.20,4.45,2.07,1.90,0.56,2.49,,
October,,,,,3.01,3.08,2.23,2.51,4.31,3.61,,
November,,,,3.23,0.95,1.61,3.04,0.91,4.25,1.93,,
December,,,,5.59,4.84,4.19,2.77,3.47,4.15,3.02,,
Total,,,,,24.10,36.14,32.93,29.51,27.97,31.96,,
Calc annual,0.00,0.00,0.00,8.82,24.10,36.14,32.93,29.51,27.97,31.96,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
