LOCH AN EILEIN (ACHNAGOICHAN),,,,,,,,,,
Grid ref,NH913082,Long,-3.798387,Lat,57.151764,Elevation,1000,ft,,
Station no,5693/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.48,,2.61,2.07
February,,,,,,,2.52,,0.73,3.19
March,,,,,,,2.58,,1.73,0.5
April,,,,,,,1.17,,2.16,1.94
May,,,,,,,1.34,,0.98,0.61
June,,,,,,,2.43,,2.41,1.87
July,,,,,,,4.17,,2.41,2.46
August,,,,,,,5.13,,1.67,8.27
September,,,,,,,2.07,,0.56,2.49
October,,,,,,,2.23,,4.31,3.61
November,,,,3.23,,,3.04,,4.25,1.93
December,,,,5.59,,,2.77,,4.15,3.02
Total,,,,,,,32.93,,27.97,31.96
,,,,,,,,,,
BR 1955 NP Low Deleted,,,,,,,,,,
BR 1956 NP Low Deleted,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 NP Low Deleted,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5693/2,,,,,,,,,
Midas,121,,,,,,,,,
Hyd Stn,817135,,,,,,,,,
