WOKINGHAM-APPIN-LODGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU817674,Long,-0.82696208,Lat,51.399759,Elevation,200,ft.,,,,,,,,,,,,,
Station no,777,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.45,2.65,2.22,1.65,1.67,3.57,1.22,3.35,1.28,1.69,1.99,1.65,0.63,,,,,
February,,,,3.46,0.29,3.16,2.2,3.62,1.7,0.55,0.62,1.42,0.07,3.53,0.13,2.69,,,,,
March,,,,2.89,0.72,0.45,0.41,2.88,1.76,0.03,1.05,0.18,1.23,2.33,2.21,0.31,,,,,
April,,,,3.49,2.8,1.71,3.2,1.75,1.58,0.93,1.65,3.33,2.25,0.91,1.45,2.89,,,,,
May,,,,2.39,3.59,2.57,1.57,1.16,2.1,2.61,1.82,3.09,4.62,1.56,0.38,1.81,,,,,
June,,,,0.4,2.28,0.02,3.32,2.93,2.22,1.09,0.27,1.44,0.96,2.73,1.38,2.95,,,,,
July,,,,1.41,3.99,3.49,2.12,3.71,2,1.76,2.11,3.31,1.84,1.23,1.38,0.67,,,,,
August,,,,1.99,3.48,2.96,0.85,2.78,3,1.02,3.01,3.9,2.49,0.42,3.09,2.99,,,,,
September,,,,2.07,3.43,2.61,1.21,4.99,0.97,0.39,2.99,1.73,2.23,2.52,1.63,3.92,,,,,
October,,,,5.18,2.9,2.75,2.54,1.14,4.04,3.62,0.89,0.5,4,1.86,1.09,2.9,,,,,
November,,,,1.68,2.48,1.79,5.23,3.48,1.73,6.88,3.77,2.43,1.71,0.85,2.06,4.53,,,,,
December,,,2.58,2.35,3.79,2.21,0.46,3.28,2.35,5.18,2.26,0.7,0.56,0.37,6.49,2.66,,,,,
Total,,,,28.76,32.4,25.94,24.76,33.39,27.02,25.28,23.79,23.31,23.65,20.3,22.94,28.95,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1930s record and is a Lodge by Wixenford, now Ludgrove School. Not sure if this is Appin Lodge.",,,,,,,,,,,,,,,,,,,,,
Stated altitude is 25 ft. too high.,,,,,,,,,,,,,,,,,,,,,
Relationships to church and station are a reasonable match.,,,,,,,,,,,,,,,,,,,,,
