CHIPPING-SODBURY-HORTON-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST758842,Long,-2.3504527,Lat,51.55616,Elevation,380,ft,,,,,,,,,,,,,
Station no,2140,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,3.48,5.45,1.09,5.25,2.32,3.8,2.73,2.63,,,,,,
February,,,,,,,,3.52,3.23,1.01,0.65,2.37,0.1,4.15,0.33,,,,,,
March,,,,,,,,2.89,3.39,0.3,2.51,0.64,2.55,3.29,2.27,,,,,,
April,,,,,,,,1.36,1.72,0.83,1.84,2.63,3.34,1.3,2.08,,,,,,
May,,,,,,,,1.13,0.57,2.38,1.4,3.6,5.92,2.76,1.37,,,,,,
June,,,,,,,,3.44,2.71,1.56,0.51,3.96,1.22,1.78,1.74,,,,,,
July,,,,,,,,3.97,2.91,1.26,3.47,4.6,2.7,2.28,1.07,,,,,,
August,,,,,,,,4.86,2.24,2.91,3.02,3.69,1.33,1.07,2.15,,,,,,
September,,,,,,,,6.25,1.17,0.19,3.65,2.31,4.98,3.93,2.54,,,,,,
October,,,,,,,3.88,2.26,5.6,4.76,2.57,0.74,6.23,2.49,2.33,,,,,,
November,,,,,,,7.75,2.95,3,8.26,3.98,4.43,2.16,0.95,1.23,,,,,,
December,,,,,,,0.5,3.04,3.51,7.49,3.57,1.8,1.39,0.8,6.5,,,,,,
Total,,,,,,,,39.15,35.5,32.04,32.42,33.09,35.72,27.53,26.24,,,,,,
