GARSTANG WINMARLEIGH,,,,,,,,,,,,,,,,,,,,
Grid ref,SD474481,Long,-2.802504,Lat,53.926346,Elevation,53,ft,,,,,,,,,,,,
Station no,RR6773,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,1.56,0.3,0.49,2.51,-999,,,,,,
February,,,,,,,,,,2.6,2.5,4.12,2.06,-999,,,,,,
March,,,,,,,,,,1.33,2.2,3.1,2.49,0.76,,,,,,
April,,,,,,,,,,1.13,1.24,1.43,3.37,2.01,,,,,,
May,,,,,,,,,,2.19,1.43,3.27,1.05,0.78,,,,,,
June,,,,,,,,,,3.3,4.13,2.92,3.7,2.63,,,,,,
July,,,,,,,,,,5.16,3.37,4.85,5.13,2.9,,,,,,
August,,,,,,,,,,6.16,1.81,6.2,4.01,2.39,,,,,,
September,,,,,,,,,,3.8,3.61,1.95,1.58,4.39,,,,,,
October,,,,,,,,,,1.68,3.08,2.09,3.42,5.03,,,,,,
November,,,,,,,,,,0.77,4.27,4.82,5.68,3.83,,,,,,
December,,,,,,,,,,1.87,4.99,3.76,2.94,2.25,,,,,,
Total,,,,,,,,,,31.55,32.93,39,37.94,34.9,,,,,,
,,,,,,,,,,,,,,,,,,,,
1883 Jan/Feb bracketed,,,,,,,,,,,,,,,,,,,,
