"WARINGSTOWN ""B"" then replaced by 'new G' in 1929",,,,,,,,,,,
Grid ref,IJ105547,Long,-6.297882,Lat,54.428967,Elevation,184,ft,,,
Station no,RR2954,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3,2.47,3.53,2.27,,,,1.25,
February,,,2.96,4.55,1.14,3.04,,,,2.05,
March,,,1.46,1.29,1.01,1.02,,,,0.2,
April,,,2.98,2.96,2.46,2.63,,,,0.82,
May,,,1.45,1.6,4.69,4.11,,,,1.6,
June,,,2.7,1.54,2.73,0.92,,,,2.05,
July,,,3.4,2.36,5.09,4.99,,,,2.63,
August,,,4.1,4.79,5.9,1.26,,,,4.45,
September,,2.22,2.01,3.96,5.25,3.69,,,,0.83,
October,,1.82,1.04,3.34,2.75,2.64,,,,2.95,
November,,2.58,1.21,3.27,2.4,1.79,,,,3.05,
December,,3.16,2.8,2.88,2.98,2.63,,,,5.35,
Total,,,29.11,35.01,39.93,30.99,,,,27.23,
,,,,,,,,,,,
TYRain_1920-1930_37_pt1-page-130.csv 1920s-3 1921-1925,,,,,,,,,,,
TYRain_1920-1930_37_pt1-page-133.csv 1920s-4 1929 only,,,,,,,,,,,
,,,,,,,,,,,
Same location as Station 6205,,,,,,,,,,,
