"WARINGSTOWN, N LURGAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ105547,Long,-6.297882,Lat,54.428967,Elevation,184,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.24,3.47,2.2,4.15,2.75,4.61,1.37,4.1,2.2,2.48,2.02,2.49,1.2,3.85,4.42,3.83,3.86,3.14,2.09,5.18,3.91,4.31,2.57,3.75,3.16,6.12,1.99,1.15,2.64,3.77,1.09,1.99,3.32,2.66,,,,
February,,,,4.35,1.08,2.98,2.36,1.53,3.78,2.31,1.1,2.58,0.15,2.83,0.14,3.57,1.59,3.71,1.12,2.12,1.84,2.49,1.56,1.23,0.96,2.37,2.26,0.8,1.61,1.72,2.77,2.93,0.79,1.1,3.5,3.31,1.23,,,,
March,,,,1.19,0.99,0.96,1.44,2.64,3.08,0.29,2.02,1.29,1.92,2.15,1.63,1.43,2.07,3.07,1.08,3.06,4.23,3.31,2.8,1.07,0.42,1.38,1.27,4.86,2.16,1.77,1.13,1.96,1.16,0.34,2.97,1.12,,,,,
April,,,,2.85,2.38,2.57,2.07,1.1,1.1,1.02,1.23,2.68,2.68,0.95,2.13,1.53,0.56,2.05,0.32,2.11,3.08,2.09,1.65,2.17,1.85,1.35,0.91,2.93,1.79,1.94,3.8,1.32,1.75,1.64,0.57,1.95,,,,,
May,,,,1.55,4.58,4.01,1.87,1.16,1.03,1.97,1.82,3.23,2.29,2.44,2.52,0.97,1.31,0.99,2.83,0.77,0.68,2.25,3.49,2.89,1.53,3.48,0.91,4.1,1.85,1.52,1.02,1.9,1.23,1.47,3.66,2.27,,,,,
June,,,,1.48,2.71,0.9,1.76,3.19,3.92,2.54,2.36,4.6,1.32,2.52,1.55,4.16,4.11,2.95,3.23,1.8,1.2,0.5,0.26,3.22,1.97,4.65,4.17,3.23,5.15,0.68,2.88,2.62,2.59,2.05,1.96,3.26,,,,,
July,,,,2.29,5.08,4.91,3.86,4.06,1.84,2.91,2.96,3.55,4.39,3.07,2.18,1.26,5.87,3,4.71,5.32,5.33,4.38,3.54,1.57,3.59,3.93,3.09,3.94,2.98,1.89,5.77,3.8,1.34,4.85,3.35,1.57,,,,,
August,,,,4.66,5.78,1.19,3.69,4.84,4.03,4.73,6.48,2.63,2.73,1.72,5.28,2.57,2.14,2.42,3.12,1.69,0.57,4.58,3.98,4.91,3.9,0.89,5.19,0.48,3.5,3.12,6.81,4.47,3.83,4.36,2.19,1.95,,,,,
September,,,,3.89,5.21,3.65,1.93,5.29,2.27,0.98,3.78,1.94,2.77,1.68,4.93,3.18,3.22,2.43,2.83,2.52,2.21,1.12,4.01,1.99,4.82,2.6,6.41,3.45,3.41,2.14,5.68,1.88,1.22,2.99,4.88,3.34,,,,,
October,,,,3.23,2.67,2.6,2.37,2.74,4.39,3.18,4.29,1.84,2.86,2.11,3.94,3.27,2.1,3.1,5.46,3.2,5.41,4.1,2.77,3.15,3.79,3.44,1.25,1.78,2.24,4.98,3.1,0.65,3.51,1.87,5.31,1.86,,,,,
November,,,,3.23,2.31,1.76,3.59,3.02,4.26,3.38,2.93,5.01,1.51,1.22,0.72,3.62,3.52,1.04,4.39,4.66,4.17,3.79,0.47,1.99,4.87,0.7,3.36,3.86,2.37,2.25,2.58,5.48,2.34,2.42,4.67,2.25,,,,,
December,,,,2.78,2.91,2.5,1.01,1.72,2.83,6.09,3.05,2.82,4.3,1.61,4.47,2.33,3.31,2.77,3.69,2.37,3.52,1.29,3.46,2.19,3.63,3.07,4.22,3.35,4.64,3.95,2.99,3.82,3.16,2.89,3.38,3.75,,,,,
Total,,,,33.74,39.17,30.23,30.1,34.04,37.14,30.77,36.12,34.37,29.4,24.32,31.98,29.09,33.65,31.95,36.61,33.48,35.38,31.99,33.17,30.29,35.64,30.43,36.79,35.94,37.82,27.95,39.68,33.47,26.69,27.07,38.43,29.95,,,,,
