"WARINGSTOWN (FORGE) ""A"" gauge",,,,,,,,,,,
Grid ref,IJ105547,Long,-6.297882,Lat,54.428967,Elevation,190,ft,,,
Station no,6205,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.87,1.98,3.42,2.2,4.15,,,,
February,,,2.83,4.18,0.85,2.88,2.31,,,,
March,,,1.22,1.15,0.82,0.6,1.22,,,,
April,,,2.64,2.7,2.21,2.3,1.92,,,,
May,,,1.3,1.29,4.5,3.8,1.8,,,,
June,,,2.64,1.32,2.5,0.84,1.56,,,,
July,,,3.25,2.11,4.9,4.82,3.83,,,,
August,,,4.1,4.59,5.69,1.12,3.65,,,,
September,,2.01,1.92,3.79,4.95,3.59,1.8,,,,
October,,1.73,0.84,3.06,2.63,2.58,2.3,,,,
November,,2.48,1.1,2.83,2.29,1.41,3.3,,,,
December,,2.82,2.52,2.69,2.9,2.4,1,,,,
Total,,,27.23,31.69,37.66,28.54,28.84,,,,
,,,,,,,,,,,
TYRain_1920-1930_37_pt1-page-134.csv,,,,,,,,,,,
