"HAWES WATER, BOULDERSTONE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NY486146,Long,-2.7956445,Lat,54.524066,Elevation,744,ft,,,,,,,,,,,,,
Station no,3674,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,8.83,20.36,1.47,13.92,5.6,18.28,14.95,16.98,3.43,12.81,,,,
February,,,,,,,,4.32,7.88,1.73,0.62,5.6,0.18,6.31,0.59,14.32,4.31,,,,
March,,,,,,,,6.97,8.96,0.83,4.62,1.1,4.32,7.11,6.41,2.86,4.9,,,,
April,,,,,,,,3.86,2.03,2.31,2.3,3.96,10.83,3.39,5.66,6.49,1.82,,,,
May,,,,,,,,2.79,1.21,5.55,2.75,5.25,5.55,3.51,6.96,0.84,2.09,,,,
June,,,,,,,,4.64,9.5,1.78,4.36,6.79,3.33,2.73,2.8,6.53,5.14,,,,
July,,,,,,,,5.45,4.97,7.89,4.07,6.43,7.94,5.08,1.87,2.46,7.76,,,,
August,,,,,,,,8.64,9.22,6.65,7.42,5.7,1.52,3.76,6.79,4.94,3.08,,,,
September,,,,,,,,8.42,3.62,3.14,4.37,3.59,6.96,2.88,10.87,13.7,7.67,,,,
October,,,,,,,,11.16,14.49,9.27,9.92,5.74,15.2,7.01,13.19,12.74,7.63,,,,
November,,,,,,,,6.51,15.14,17.39,7.94,15.2,6.64,3.12,1.35,8.06,9.17,,,,
December,,,,,,,,2.04,6.54,17.04,7.96,5.33,14.23,1.05,15.08,4.77,15.39,,,,
Total,,,,,,,,73.63,103.92,75.05,70.25,70.29,94.98,60.9,88.55,81.14,81.77,,,,
