MARTON IN CLEVELAND - SOUTHLEIGH,,,,,,,,,,
Grid ref,NZ516157,Long,-1.204,Lat,54.534,Elevation,100,ft,,
Station no,3485,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,0.70,2.54,1.15,2.14,,,,,
February,,1.05,3.42,0.86,3.54,,,,,
March,,2.32,1.51,1.72,0.68,,,,,
April,,0.86,1.02,3.02,3.02,,,,,
May,,5.52,2.50,0.73,0.70,,,,,
June,,1.12,2.58,2.55,2.54,,,,,
July,,3.39,2.16,2.22,0.30,,,,,
August,,2.79,0.44,1.78,0.83,,,,,
September,,2.55,1.76,1.95,1.84,,,,,
October,,3.44,3.61,2.84,1.54,,,,,
November,,1.42,3.17,2.57,1.80,,,,,
December,1.47,1.15,1.68,3.54,1.04,,,,,
Total,,26.31,26.39,24.93,19.97,,,,,
,,,,,,,,,,
TYRain_1931-1940_20_pt1/071,,,,,,,,,,
,,,,,,,,,,
# The location of the Southleigh site in Marton has not been determined.,,,,,,,,,,
# The indicative grid reference provided is for the Southcroft site.,,,,,,,,,,
# The gauge moved to Southleigh from Southcroft in November 1931.,,,,,,,,,,
