BOVEY-TRACEY-EDYMEAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX806772,Long,-3.68696,Lat,50.58289,Elevation,200,ft,,,,,,,,,,,,,
Station no,1735,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,5.86,2.61,7.95,4.03,6.79,4.16,4.89,0.64,9.09,,,,
February,,,,,,,,,3.33,2.96,1.42,2.72,0.04,4.17,0.15,5.06,4.66,,,,
March,,,,,,,,,4.18,0.25,3.08,2.61,3.1,4.08,3.73,1.55,5.29,,,,
April,,,,,,,,,1.89,0.73,3.15,4,2.85,2.2,3,6.69,2.8,,,,
May,,,,,,,,,0.76,3.04,1.44,3.2,4.22,2.15,1.53,2.49,1.75,,,,
June,,,,,,,,,1.81,2.2,0.18,3.31,3.79,2.74,1.83,4.66,1.77,,,,
July,,,,,,,,,1.36,1.45,2.26,3.5,2.34,2.65,2.41,0.36,6.7,,,,
August,,,,,,,,,2.37,2.07,4.58,4.81,2.2,1.26,3.23,2.35,0.12,,,,
September,,,,,,,,,1.93,0.37,5.86,1.28,5.22,2.03,3.21,3.58,3.6,,,,
October,,,,,,,,,7.75,5.97,5.05,0.6,8.06,4.14,3.35,4.04,1.21,,,,
November,,,,,,,,,6.17,14.35,7.58,10.94,2.95,1.54,2.28,7.78,4.41,,,,
December,,,,,,,,,4.68,13.23,4.51,2.21,3.36,2.42,14.08,6.8,6.84,,,,
Total,,,,,,,,,42.09,49.23,47.06,43.21,44.92,33.54,43.69,46,48.24,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Nov and total amended in red ink,,,,,,,,,,,,,,,,,,,,,
1937 Record terminated on death of observer,,,,,,,,,,,,,,,,,,,,,
