"LINCOLN - CRESTON VILLA, COLEGRAVE STREET, ST CATHERINE'S",,,,,,,,,,,,,,,,,,,
Grid ref,SK970694,Long,-0.549,Lat,53.213,Elevation,33,ft,,,,,,,,,,,
Station no,RR2726,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904
January,3.27,1.97,0.48,1.73,2.52,1.10,0.99,2.12,2.40,3.03,1.03,2.04,0.84,1.97,3.37,1.10,0.86,1.75,1.91
February,0.19,0.89,1.15,1.83,1.15,0.05,1.93,2.97,1.82,0.19,0.66,3.12,0.55,1.35,3.78,1.75,1.79,0.50,2.85
March,2.63,1.70,2.79,3.52,1.37,0.97,1.00,0.25,0.56,2.10,2.08,2.50,1.67,0.85,0.71,2.10,1.49,3.75,1.81
April,1.80,1.21,2.09,2.74,0.41,1.49,1.71,0.22,2.34,1.54,0.67,1.53,2.30,2.68,1.63,1.26,1.98,1.58,0.90
May,5.00,1.80,0.60,3.82,2.22,3.00,3.89,1.10,1.52,0.83,0.72,1.49,2.19,3.42,1.60,0.94,2.70,2.52,2.25
June,0.84,0.35,1.41,0.77,2.05,3.32,3.99,1.35,2.99,1.52,4.52,2.72,1.30,1.30,3.03,1.70,2.31,0.91,0.46
July,2.37,1.08,5.68,1.94,2.15,3.00,3.17,3.05,3.69,4.32,1.97,1.03,1.05,0.79,1.06,2.90,1.43,2.76,3.10
August,1.96,1.52,2.63,3.49,2.30,3.35,1.88,0.75,1.87,1.68,1.67,3.38,2.63,0.64,5.96,1.85,3.10,5.16,3.12
September,1.35,2.49,1.64,2.41,1.29,1.11,2.08,0.70,0.49,0.50,4.36,3.08,0.66,2.16,0.75,0.96,0.81,3.69,1.85
October,3.60,2.22,0.52,5.21,0.91,4.69,4.56,1.55,3.39,2.73,3.39,0.59,3.45,3.15,2.68,1.51,2.15,6.36,0.40
November,1.73,2.04,2.96,0.27,2.65,3.53,1.17,2.05,2.06,3.08,1.56,1.77,2.10,1.08,2.20,2.45,1.86,1.79,0.83
December,3.66,1.03,1.97,1.57,0.70,3.10,0.62,1.78,1.91,2.19,3.32,2.21,2.25,2.38,3.65,5.80,1.79,0.87,1.89
Total,28.40,18.30,23.92,29.30,19.72,28.71,26.99,17.89,25.04,23.71,25.95,25.46,20.99,21.77,30.42,24.32,22.27,31.64,21.37
,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/042,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/170,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/112,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"# The observer, Mr Teague, lived at Creston Villa on Colegrave Street.",,,,,,,,,,,,,,,,,,,
