BATH-QUEENS-PARADE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST746650,Long,-2.36544,Lat,51.38395,Elevation,100,ft,,,,,,,,,,,,
Station no,RR7654,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.66,4.12,0.6,1.82,1.71,3.27,3.82,2.68,3.89,2.35,,
February,,,,,,,,,1.61,3.92,3.83,3.94,2.14,3.72,1.89,3.66,0.95,0.65,,
March,,,,,,,,,1.85,0.98,2,2.03,2.04,1.11,2.68,1.32,1.8,2.57,,
April,,,,,,,,,2.19,3.17,2.06,0.69,4.28,0.85,1.1,2.75,2.44,1.35,,
May,,,,,,,,,7.03,2.97,0.85,2.02,1.76,1.26,1.55,2.68,5.05,1.92,,
June,,,,,,,,,4.11,5.45,1.97,3.19,4.78,3.54,3.87,1.15,0.52,1.22,,
July,,,,,,,,,1.63,3.55,3.91,1.77,5.97,3.37,3.81,0.32,2.64,1.11,,
August,,,,,,,,,5.27,5.88,1.02,4.41,4.21,1.54,2.03,3.1,1.64,1.55,,
September,,,,,,,,,1.97,3.55,4.68,1.78,2.81,4.2,1.9,4.79,2.19,3.51,,
October,,,,,,,,,5.11,1.26,4.73,2.11,5.07,3.1,0.96,4.59,4.9,2.7,,
November,,,,,,,,,3.3,0.69,3.01,4.09,4.31,3.41,1.57,5.16,3.82,2.95,,
December,,,,,,,,,1.76,1.3,3.93,3.76,3.84,1.12,3.41,1.36,5.95,2.35,,
Total,,,,,,,,,37.49,36.84,32.59,31.61,42.92,30.49,28.59,33.56,35.79,24.23,,
,,,,,,,,,,,,,,,,,,,,
7 Queens Parade,,,,,,,,,,,,,,,,,,,,
