GODALMING-WESTBROOK,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU961442,Long,-0.62625,Lat,51.18903,Elevation,280,ft,,,,,,,,,,,,,
Station no,186,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.13,3.72,,2.81,2.47,3.56,2.36,4.27,1.58,3.71,1.79,3.18,2.16,,,,,,,
February,,0.42,1.77,,0.33,4.35,2.53,5.17,2.09,0.71,1.04,1.75,0.4,3.23,,,,,,,
March,,0.88,2.71,,1.49,0.83,0.43,3.35,2.48,0.03,1.22,0.4,1.92,4.67,,,,,,,
April,,1.45,3.61,,2.11,2.53,2.13,1.96,2.4,0.93,2.81,3.77,2.89,0.94,,,,,,,
May,,0.95,0.88,,5.05,3.5,2.63,1.3,2.19,2.89,2.22,2.82,4.52,2.29,,,,,,,
June,,0.41,0.79,,2.93,0.08,2.91,,2.68,1.42,0.39,1.68,1.43,1.81,,,,,,,
July,,0.46,4.49,,2.72,4.3,0.78,2.02,1.71,1.38,1.94,4,2.56,1.94,,,,,,,
August,,1.21,,,4.34,3.97,1.54,3.64,1.74,2.02,3.15,3.05,0.52,0.94,,,,,,,
September,,0.61,1.61,,3.39,2.53,1.14,5.83,1.36,0.19,2.35,2.12,2.22,2.58,,,,,,,
October,,0.76,2.4,,2.61,2.97,2.51,1.46,3.78,3.55,1.57,0.59,4.57,1.95,,,,,,,
November,,1.62,0.87,,4.99,2.41,5.72,4.05,2.6,7.47,4.1,2.95,1.12,0.98,,,,,,,
December,,1.83,4.31,,4.49,3.27,0.52,,2.47,8.04,2.84,0.54,0.6,0.35,,,,,,,
Total,26.83,13.73,,31.19,37.26,33.21,26.4,,29.77,30.21,27.34,25.46,25.93,23.84,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Westbrook marked on maps and matches elevation However it is too close to the station and church ,,,,,,,,,,,,,,,,,,,,,
Distances match with newspaper article locating it on Peperharrow Rd but elevation far too low,,,,,,,,,,,,,,,,,,,,,
NGR is for Westbrook as that is where observer lived,,,,,,,,,,,,,,,,,,,,,
1922 Aug Estimated from maps,,,,,,,,,,,,,,,,,,,,,
1925 Dec Part estimated No note if it was due to snow,,,,,,,,,,,,,,,,,,,,,
1927 Feb Marked as estimated No note if it was due to snow,,,,,,,,,,,,,,,,,,,,,
1927 June Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1927 Dec Marked as estimated,,,,,,,,,,,,,,,,,,,,,
Stn terminated due to old age of observer,,,,,,,,,,,,,,,,,,,,,
