BIDEFORD-ORLEIGH-COURT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,SS429223 ,Long ,-4.239259,Lat ,50.978621,Elevation ,260,ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January ,,,,,,,,,3.03,3.88,1.33,1.1,4.41,6.06,6.92,4.11,7.14,4.92,2.73,2.93,7.81,4.7,2.91,2.87,5.18,4.11,1.46,2.42,2.97,9.31,6.58,3.09,3.72,7.14,6.62,2.25,8.63,3.19,3.68,3.71,3.11,2.34,4.99,7.56,2.77,5.73,3.8,2.02,5.77,5.88,6.7,5.38,4.44,2.89,4.85,5.12,6.62,7.55,7.44,1.55,7.25,4.29,4.56,3.7,4.38,1.54,5.59,5.3,6.36,6.97,
February ,,,,,,,,,1.52,5.99,5.92,4.72,2.72,6.82,5.44,5.84,1.22,1.62,1.79,3.94,1.13,0.82,2.76,6.8,4.74,0.1,1.06,5.57,2.7,3.69,6.78,1.77,1.66,4,7.04,2.53,6.55,2.93,3.68,1.05,7.83,3.95,2.81,3.24,5.65,8.25,8.04,1.21,2.81,3.83,3.15,0.28,5.46,7.63,1.23,7.66,2.76,3.83,3.65,1.36,1.56,3.12,0.02,3.03,0.31,4.04,2.42,6.87,1.47,2.97,
March ,,,,,,,,,2.83,1.15,2.65,4.15,2.67,1.17,4.18,1.75,5.15,2,5.96,4.09,1.96,1.77,1.35,1.52,4.83,4.98,5.65,5.91,1.47,2.01,1.81,3.12,3.2,7.77,1.81,6.97,3.44,2.3,4.83,5.92,1.02,2.64,7.91,7.36,8.29,1.13,3.8,3.02,2.42,5.9,4.82,3.41,4.71,1.68,2.31,1.17,0.89,6.35,4.74,0.6,2.58,1.72,2.15,3.91,2.9,1.3,2.34,3.64,0.41,1.88,
April ,,,,,,,,,3.53,1.85,2.8,0.89,5.35,1.43,2.31,2.9,3.7,2.12,1.38,1.87,3.7,2.02,2.35,0.64,1.78,2.13,1.18,5.16,2.25,4.07,1.79,4.61,1.86,1.94,1.71,2.6,1.66,5.26,3.14,2.86,2.74,2.99,0.7,7.28,2.35,1.74,1.8,2.71,3.1,3.27,5.52,0.9,4.1,2.77,3.93,2.5,1.8,2.05,1.49,0.82,2.55,2.77,2.78,1.78,2.87,4.98,2.12,3.52,0.24,2.46,
May ,,,,,,,,,5.27,3.08,1.8,1.37,3.2,2.46,2,3.13,4.32,1.58,1.83,3.45,2.64,4.79,1.57,2.02,3.27,0.65,0.16,1.55,4.87,3.28,2.17,1.13,3.16,3.24,3.57,0.31,3.9,3.33,2.21,2.21,2.62,1.54,1.68,2.65,1.7,4.31,2.42,1.03,1.37,1.38,2.71,1.83,1.47,2.83,3.99,5.5,2.89,1.23,1.42,4.12,3.1,3.94,4.62,2.71,2.18,1.66,0.95,2.43,3.89,1.07,
June ,,,,,,,,,2.99,5.83,2.32,3.34,3.02,3.8,1.52,3.52,1.22,0.95,3.05,1.21,2.57,3.56,1.88,0.74,1.76,1.14,1.25,1.52,3.96,1,3.54,3.28,4.33,1.66,1.69,3.75,1.68,4.23,1.33,2.32,3.36,3.88,9.35,2.97,1.82,1.42,3.01,5.64,1.84,1.71,3.64,0.11,1.56,1.25,2.09,0.04,1.96,2.98,2.48,2.62,0.92,5.07,1.02,1.81,2.02,3.85,2.55,1.74,3.68,1.99,
July ,,,,,,,,,2.37,4.73,6.38,2.81,5.91,3.95,3.5,1.34,3.43,1.38,4.86,4.62,4.31,3,3.63,6.52,2.95,5.36,1.55,2.47,0.78,1.41,0.59,2.02,2.07,3.91,5.43,1.55,1.08,2.21,2.71,2.61,3.3,0.56,4.65,0.71,3.94,4.03,0.82,2.99,5.33,1.22,5.25,1.4,3.37,3.66,4.62,2.79,2.06,4.56,2.43,3.32,4.39,5.16,3.58,2.43,0.55,0.8,7.96,1.98,4.59,5.82,
August ,,,,,,,,,5.81,6.13,1.54,5.36,5.53,2.18,2.35,2.1,1.59,1.24,3.57,3.69,4.12,8.04,4.67,3.59,4.42,4.33,2.65,5.02,3.61,2.51,3.46,2.69,3.11,5.2,2.99,5.61,2.82,3.54,4.32,1.91,5.15,4.26,11.17,0.92,5.64,1.89,3.69,6,3.67,2.81,2.56,3.68,3.43,3.74,6.07,3.39,4.5,9.2,3.63,3.91,3.89,6.14,3.58,1.51,4.72,3.41,0.81,1.97,7.27,3.6,
September ,,,,,,,,,4.25,4.16,3.77,2.39,6.36,7.04,3,7.04,3.08,6.51,1.93,1.76,1.57,4.19,4.8,4.12,2.41,0.9,7.65,7.71,2,4.42,2.14,3.54,4.28,5.15,2.98,2.56,1.13,1.07,3.51,2.68,0.32,3.68,1.29,2.3,3.05,1.66,2.98,3.2,9.93,1.82,4.2,2.79,3.04,7.34,6.35,3.73,1.76,,1.73,0.74,5.41,1.93,4.86,1.7,3.9,5.77,2.54,4.27,2.62,0.94,
October ,,,,,,,,,8.4,2.28,7.32,4.01,7.46,6.26,3.17,8.59,9.28,3.15,2.62,5.87,4.87,9.32,6.33,6.23,6.86,7.44,5.41,1.96,8.52,6.18,5.6,4.74,4.54,14.29,4.21,3.51,7.14,7.12,1.92,10.73,6.9,5.34,7.85,5.23,2.54,4.68,7.21,9.8,3.06,2.06,5.7,2.12,2.07,8.44,6.43,5.45,3.97,,8.54,8.4,6.36,1.15,13.97,6.32,4.66,7.83,2.46,2.63,9.3,3.21,
