SHOBDON RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SO401621,Long,-2.8789088,Lat,52.253797,Elevation,434,ft,,,,,,,,,,,,
Station no,2252/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.68,3.88,5.98,3.58,,3.1,,,,,,,,
February,,,,,,,5.37,0.64,1.81,2.89,2.95,0.76,,,,,,,,
March,,,,,,,2.44,0.19,1.36,1.47,2.08,2.63,,,,,,,,
April,,,,,,,1.77,0.16,1.81,2.56,1.21,1.98,,,,,,,,
May,,,,,,,1.78,2.22,1.25,2.05,2.75,4.19,,,,,,,,
June,,,,,,,0.69,2.03,1.57,1.22,2.24,0.26,,,,,,,,
July,,,,,,,2.6,2.86,5.24,3.9,2.15,1.69,,,,,,,,
August,,,,,,,1.17,3.41,1.72,0.2,4.61,3.04,,,,,,,,
September,,,,,,,1.46,1.85,0.73,0.85,1.38,1.66,,,,,,,,
October,,,,,,,3.65,4.09,2.87,3.84,2.89,1.72,,,,,,,,
November,,,,,,,1.54,4.91,5.16,6.76,2.89,0.82,,,,,,,,
December,,,,,,,2.56,3.65,1.69,1.64,1.84,4.01,,,,,,,,
Total,,,,,,,28.71,29.89,31.19,30.96,,25.86,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jan 1941 allocated from surrounding stations so removed along with total,,,,,,,,,,,,,,,,,,,,
1940 arithmetic,,,,,,,,,,,,,,,,,,,,
