ST-ALBANS-HOLYWELL-HILL,,,,,,,,,,
Grid ref,TL146066,Long,-0.341436,Lat,51.746388,Elevation,250,ft,,
Station no,923/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.21,2.83,2.88,2.42
February,,,,,,,3.09,2.86,0.04,2.36
March,,,,,,,1.31,1.53,2.41,1.59
April,,,,,,,0.16,1.38,2.42,0.62
May,,,,,,,1.29,2.3,0.92,1.71
June,,,,,,,1.26,4.87,1.09,1.5
July,,,,,,,2.98,1.84,3.88,3.02
August,,,,,,,2.44,2.64,1.47,2.73
September,,,,,,,3.35,4.05,0.1,3.55
October,,,,,,,1.96,3.13,1.98,5.73
November,,,,,,,2.21,2.15,2.14,3.84
December,,,,,,,2.3,3.44,4.29,3.38
Total,,,,,,,23.56,33.02,23.62,32.45
,,,,,,,,,,
,,,,,,,,,,
