"GLOUCESTER DENMARK ROAD (2)",,,,,,,,,,,,
Grid ref,SO843190,Long,-2.229430,Lat,51.869351,,,,,,,
Station no,2168/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.12,1.13,4.06,1.12,0.84,0.66,,
February,,,,,3.39,0.76,1.43,1.00,0.78,0.56,,
March,,,,,1.44,3.63,1.22,0.68,2.72,2.72,,
April,,,,,1.07,2.43,0.62,3.24,1.92,1.79,,
May,,,,,2.11,0.20,2.21,2.26,1.60,0.90,,
June,,,,,0.94,4.61,3.00,2.32,0.66,3.09,,
July,,,,,2.62,0.91,0.85,4.78,2.33,2.06,,
August,,,,,2.20,4.75,0.76,1.98,3.43,1.95,,
September,,,,,1.43,1.63,0.64,0.48,1.79,2.64,,
October,,,,,0.50,1.33,4.27,5.29,1.54,3.45,,
November,,,,,1.32,2.58,2.64,1.80,0.98,0.82,,
December,,,,,1.79,0.68,1.49,4.16,1.91,3.54,,
Total,,,,,21.93,24.64,23.19,29.11,20.50,24.18,,
Calc annual,0.00,0.00,0.00,0.00,21.93,24.64,23.19,29.11,20.50,24.18,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,,
