"GLOUCESTER, NORTHERNHAY, DENMARK ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2168/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.49,2.82,3.06,1.48,3.27,2.16,2.90,3.14,,,,
February,0.70,0.26,3.27,4.22,0.41,3.48,1.75,3.06,,,,
March,2.70,1.34,1.99,2.25,1.16,0.24,0.22,2.49,,,,
April,3.58,0.97,2.69,2.25,2.22,1.50,3.24,1.23,,,,
May,1.36,1.33,0.51,1.86,7.25,2.55,2.09,1.02,,,,
June,2.31,0.27,0.75,0.36,2.31,0.00,1.11,2.85,,,,
July,3.64,0.38,4.84,1.76,4.17,2.47,2.49,3.58,,,,
August,1.06,3.11,3.22,1.79,3.50,1.78,1.67,3.95,,,,
September,2.22,1.72,1.48,2.06,3.88,3.45,0.62,4.79,,,,
October,1.87,1.27,0.86,5.25,4.68,2.50,2.62,1.53,,,,
November,0.66,1.79,1.29,1.43,2.41,1.35,5.90,1.71,,,,
December,2.47,1.46,3.81,2.27,3.29,2.30,0.39,2.90,,,,
Total,26.06,16.72,27.77,26.98,38.55,23.78,25.00,32.25,,,,
Calc annual,26.06,16.72,27.77,26.98,38.55,23.78,25.00,32.25,0.00,0.00,0.00,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,
