"GLOUCESTER DENMARK ROAD (1)",,,,,,,,,,,,
Grid ref,SO839192,Long,-2.235249,Lat,51.871138,,,,,,,
Station no,2168/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.71,1.16,,3.30,,,,1.12,,0.60,,
February,4.96,1.07,,1.22,,,,0.91,,0.55,,
March,0.78,2.18,,3.39,,,,0.60,,2.61,,
April,0.76,2.69,,1.65,,,,3.11,,1.67,,
May,2.13,1.03,,3.83,,,,2.20,,0.82,,
June,1.58,2.48,,3.14,,,,2.29,,3.07,,
July,1.94,1.67,,3.00,,,,4.95,,2.60,,
August,2.53,1.70,,2.55,,,,2.02,,,,
September,0.50,1.63,,2.78,,,,0.46,,-999.00,,
October,2.42,0.89,,6.27,,,,5.37,,3.53,,
November,1.52,1.21,,1.24,,,,1.76,,0.81,,
December,5.11,4.05,,1.20,,,,4.09,,3.42,,
Total,26.94,21.76,,33.57,,,,28.88,,24.07,,
Calc annual,26.94,21.76,0.00,33.57,0.00,0.00,0.00,28.88,0.00,19.68,,
Difference,0.00,0.00,NaN,-0.00,NaN,NaN,NaN,-0.00,NaN,4.39,,
