GLOUCESTER-BARNWOOD (DENMARK ROAD (2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO837193,Long,-2.23687,Lat,51.87225,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2168/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,3.12,1.13,4.06,1.12,0.84,0.66,,1.01,3.05,4.04,0.63,3.28,1.31,1.26,2.73,3.51,3.49,2.82,3.06,1.48,3.27,2.16,2.9,3.14,,,
February,,,,,3.39,0.76,1.43,1,0.78,0.56,,1.23,2.16,1.03,2.4,3.76,3.66,0.99,1.5,2.67,0.7,0.26,3.27,4.22,0.41,3.48,1.75,3.06,,,
March,,,,,1.44,3.63,1.22,0.68,2.72,2.72,,1.76,3.71,3.75,2.83,1.02,3.64,1.9,1.25,3.92,2.7,1.34,1.99,2.25,1.16,0.24,0.22,2.49,,,
April,,,,,1.07,2.43,0.62,3.24,1.92,1.79,,0.79,0.18,2.76,1.05,1.25,1.11,1.45,2.46,1.79,3.58,0.97,2.69,2.25,2.22,1.5,3.24,1.23,,,
May,,,,,2.11,0.2,2.21,2.26,1.6,0.9,,0.78,2.2,2.14,1.43,2.79,2.47,3.22,1.71,0.58,1.36,1.33,0.51,1.86,7.25,2.55,2.09,1.02,,,
June,,,,,0.94,4.61,3,2.32,0.66,3.09,,1.51,5.28,0.67,3.04,0.99,1.96,2.09,0.7,1.19,2.31,0.27,0.75,0.36,2.31,0,1.11,2.85,,,
July,,,,,2.62,0.91,0.85,4.78,2.33,2.06,,0.03,6.75,1.03,3.4,4.62,1.32,1.76,2.6,3.53,3.64,0.38,4.84,1.76,4.17,2.47,2.49,3.58,,,
August,,,,,2.2,4.75,0.76,1.98,3.43,1.95,,1.13,5.84,1.21,1.52,3.19,3.59,5.1,1.15,1.96,1.06,3.11,3.22,1.79,3.5,1.78,1.67,3.95,,,
September,,,,,1.43,1.63,0.64,0.48,1.79,2.64,,1.29,0.55,2.21,0.92,0.98,1.12,2.16,5.73,1.78,2.22,1.72,1.48,2.06,3.88,3.45,0.62,4.79,,,
October,,,,,0.5,1.33,4.27,5.29,1.54,3.45,,1.91,2.89,2.6,1.62,3.11,4.19,3.22,1.04,2.37,1.87,1.27,0.86,5.25,4.68,2.5,2.62,1.53,,,
November,,,,,1.32,2.58,2.64,1.8,0.98,0.82,,2.98,1.35,3.04,2.96,1.24,2.49,0.8,1.93,1.32,0.66,1.79,1.29,1.43,2.41,1.35,5.9,1.71,,,
December,,,,,1.79,0.68,1.49,4.16,1.91,3.54,,5.79,3.12,1,5.29,4.94,2.22,0.78,2.19,2.9,2.47,1.46,3.81,2.27,3.29,2.3,0.39,2.9,,,
Total,,,,,21.93,24.64,23.19,29.11,20.5,24.18,30.87,20.21,37.08,25.48,27.09,31.17,29.08,24.73,24.99,27.52,26.06,16.72,27.77,26.98,38.55,23.78,25,32.25,,,
