GLOUCESTER-BARNWOOD (DENMARK ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO837193,Long,-2.23687,Lat,51.87225,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2168/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,4.31,2.09,0.63,0.83,2.28,,,,,,,,0.42,3.63,2.71,1.16,,3.3,,,,1.12,,
February,,,,,,,0.87,0.63,1.32,1.27,0.52,,,,,,,,1.07,3.1,4.96,1.07,,1.22,,,,0.91,,
March,,,,,,,2.46,1.09,2.71,3.62,0.81,,,,,,,,0.27,0.47,0.78,2.18,,3.39,,,,0.6,,
April,,,,,,,1.87,1.52,2.38,3.89,0.94,,,,,,,,1.86,2.42,0.76,2.69,,1.65,,,,3.11,,
May,,,,,,,4.76,2.21,1.64,3.74,1.71,,,,,,,,3.3,2.12,2.13,1.03,,3.83,,,,2.2,,
June,,,,,,,1.65,1.53,2.43,0.22,2.43,,,,,,,,1.09,1.18,1.58,2.48,,3.14,,,,2.29,,
July,,,,,,,3.16,0.87,4.88,1.77,3.38,,,,,,,,0.92,0.54,1.94,1.67,,3,,,,4.95,,
August,,,,,,,1.5,1.66,1.45,2.41,2.07,,,,,,,,2.91,3,2.53,1.7,,2.55,,,,2.02,,
September,,,,,,,2.28,2.15,1.09,1.9,0.93,,,,,,,,0.53,1.05,0.5,1.63,,2.78,,,,0.46,,
October,,,,,,,3.99,2.03,0.57,2.42,1.05,,,,,,,,3.71,2.23,2.42,0.89,,6.27,,,,5.37,,
November,,,,,,,2.05,2.39,5.34,1.28,1.49,,,,,,,,1.8,2.42,1.52,1.21,,1.24,,,,1.76,,
December,,,,,,0.88,3.35,1.75,2.57,1.36,0.84,,,,,,,,2.49,1.74,5.11,4.05,,1.2,,,,4.09,,
Total,,,,,,,32.25,19.92,27.01,24.71,18.45,,,,,,,,20.37,23.9,26.94,21.76,,33.57,,,,28.88,,
