CORYTON-LEW-DOWN-(PARK-COTTAGE-NEW-5IN-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX469846,Long,-4.1666,Lat,50.6415,Elevation,470,ft,,,,,,,,,,,,,,,,,,,,
Station no,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897
January,,,,,,8.23,1.38,8.76,2.93,5.98,1.03,2.99,3.06,5.03,5.24,3.37,5.91,4.19,2.42,2.18,6.34,3.96,3.01,3.75,6.14,5.56,1.13,3.39
February,,,,,,2.01,4.85,3.71,2.49,6.9,5.8,5.58,3.21,8.39,5.52,7.07,1.56,0.99,1.68,3.48,1.68,0.12,4.2,8.67,2.99,0.05,0.94,4.69
March,,,,,,1.86,3.98,4.44,2.8,1.28,2.34,5.74,1.84,1.96,4.85,2.14,4.09,1.62,4.7,4.5,2.33,2.95,1.61,0.71,2.67,5.5,4.38,
April,,,,,,2.25,4.58,5.51,2.88,3.64,3.72,1.23,6.23,1.76,1.72,4.97,2.65,1.48,2.56,2.32,2.59,2.49,1.02,0.5,3.77,3.45,0.76,
May,,,,,,3.41,0.21,4.76,5.71,3.23,1.25,1.93,2,1.92,1.58,3.77,2.72,1.74,1.89,3.53,2.34,4.37,1.87,2.4,3.62,0.81,0.05,
June,,,,,,3.7,1.93,2.01,3.43,9.33,3.22,4.9,5.35,4.24,1.54,3.39,1.32,0.14,3.65,0.68,4.35,2.14,2.33,1.18,2.16,1.92,1.63,
July,,,,,,4.1,1.02,6.41,1.92,4.28,6.25,3.13,7.45,6.07,4.94,0.92,3.86,1.63,7.45,4.83,4.53,3.29,1.7,7.15,4.88,5.98,2.74,
August,,,,,5.03,2.59,4.65,6.3,6.29,6.8,1.01,6.59,4.67,2.17,2.44,1.39,3.32,1.31,3.36,4.27,3.83,8.71,4.67,1.99,5.12,5.73,2.09,
September,,,,,7.42,5.02,6.86,3.19,3.71,4.42,5.42,2.47,4.24,7.41,3.88,6.16,3.57,5.17,1.59,2.15,1.56,3.57,4.99,3.4,3.46,2.36,7.72,
October,,,,,6.99,6.03,5.27,3.95,6.28,2.24,6.01,4.07,6.69,5.45,2.71,7.91,8.21,5.15,2.94,5.81,2.96,12.11,8.52,4.89,9.23,10,5.83,
November,,,,,3.85,6.38,4.83,8.11,4.41,0.51,5.03,7.1,6.4,5.77,3.72,5.09,4.59,3.6,7.3,2.66,5.37,6.92,4.28,3.61,9.99,7.23,1.68,
December,,,,,5.67,2.41,12.31,3.49,4.66,1.67,6.46,5.77,7.2,1.34,5.1,1.58,6.5,3.73,5.52,2.52,3.2,6.24,2.97,7.43,4.21,4.24,9,
Total,,,,,,47.99,51.87,60.64,47.51,50.28,47.54,51.5,58.34,51.51,43.24,47.76,48.3,30.75,45.06,38.93,41.08,56.87,41.17,45.68,58.24,52.83,37.95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874 Aug New gauge substituted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 new gauge supplied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897 March Gauge moved 1 1/2miles W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
