CORYTON-LEW-DOWN-(RAILWAY),,,,,,,,,,,,,,,,,,,,
Grid ref,SX443833,Long,-4.2015,Lat,50.629,Elevation,285,ft,,,,,,,,,,,,
Station no,1661,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,1.15,7.33,6.43,4.67,2.07,4.68,7.01,2.59,,,,
February,,,,,,,,,2.94,4.92,8.37,1.71,2.33,3.54,8.4,1.51,,,,
March,,,,,,,,,1.38,1.55,2.83,3.83,2.93,5.59,1.92,6.89,,,,
April,,,,,,,,3.14,2.52,3.51,1.88,4.4,2.47,2.07,1.41,3.76,,,,
May,,,,,,,,1.75,3.83,3.22,2.73,1.97,2.04,2.94,2.48,0.85,,,,
June,,,,,,,,1.73,3.22,1.12,3.75,2.43,2.97,1.74,1.53,2.35,,,,
July,,,,,,,,2.13,0.2,0.64,1.1,1.01,3.48,3.57,5.52,0.38,,,,
August,,,,,,,,6.91,3.14,1.61,3.41,3.27,1.77,5.21,2.81,6.35,,,,
September,,,,,,,,5.09,1.95,3.15,1.58,3.83,3.34,5.4,2.71,1.69,,,,
October,,,,,,,,1.71,6.91,3.59,3.8,3.04,2.67,11.88,1.83,1.84,,,,
November,,,,,,,,3.16,3.99,4.63,5.99,1.06,5.73,2.96,2.92,,,,,
December,,,,,,,,9.4,5.38,4.54,7.16,7.98,4.41,5.23,4.14,,,,,
Total,,,,,,,,,36.61,39.81,49.03,39.2,36.21,54.81,42.68,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1897 March Gauge moved 1 1/2miles W to Railway Cottage (also known as Station Cottage),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
There are 3x1900 sheets.,,,,,,,,,,,,,,,,,,,,
One has totals only with note monthly values not available,,,,,,,,,,,,,,,,,,,,
1900-1904 are the same as on the 1900 sheet for Railway Cottage,,,,,,,,,,,,,,,,,,,,
