CORYTON-LEW-DOWN-(PARK-COTTAGE-10IN-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SX469846,Long,-4.1666,Lat,50.6415,Elevation,470,ft,,,,,,,,,,,,
Station no,1661,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,8.28,4.24,3.38,4.9,4.19,6.13,8.13,5.43,6.14,7.68,4.18,4.31,8.74,8.06,5.38,,,,,
February,2.03,4.83,1.74,1.31,2.2,4.43,5.03,3.4,1.94,4.62,6.46,3.59,7.07,3.25,4.92,,,,,
March,4.17,4.88,4.01,3.85,2.74,2.52,4.26,4.22,4.84,3.18,2.2,2.09,4.68,5.19,1.48,,,,,
April,2.21,0.69,2.69,2.28,1.31,0.37,2.13,4.91,3.59,1.52,0.09,5.44,3.73,0.57,2.78,,,,,
May,4.38,1.36,1.91,1.75,1.22,3.77,2.14,3.07,2.25,4.5,2.73,0.49,2.43,2.19,0.53,,,,,
June,10.1,3.36,3.56,4.25,2.17,1.43,2.17,1.29,0.68,0.23,0.34,3.69,5.04,1.4,1.32,,,,,
July,3.22,5.63,2.5,1.37,1.2,3.64,2.14,6.03,1,0.58,1.73,5.65,4.11,4.4,1.73,,,,,
August,7.1,2.74,3.61,3.53,2.67,6.2,4.09,1.64,4.73,0.59,4.25,3.6,1.76,6.74,,,,,,
September,2.81,4.38,5.11,5.99,4.81,0.18,10.37,2.1,4.77,6.06,2.45,5.79,4.74,2.87,,,,,,
October,3.21,3.04,8.31,6.6,3.27,7.15,1.83,6.24,4.89,2.44,7.06,6.95,7.51,3.69,,,,,,
November,3.58,7.33,1.69,4.34,5.47,6.09,2.64,0.45,4.7,3.4,4.4,1.02,7.87,5.55,,,,,,
December,6.81,5.39,4.9,3.48,4.21,5.27,4.25,3.87,11.47,6.31,2.37,4.31,9.75,0.92,,,,,,
Total,57.9,47.87,43.41,43.65,35.46,47.18,49.18,42.65,51,41.11,38.26,46.93,67.43,44.83,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge started in Jan 1860,,,,,,,,,,,,,,,,,,,,
1874 Aug New gauge substituted,,,,,,,,,,,,,,,,,,,,
1890 new gauge supplied,,,,,,,,,,,,,,,,,,,,
