CORYTON-LEW-DOWN-(RECTORY),,,,,,,,,,,,,,,,,,,,
Grid ref,SX455835,Long,-4.1855,Lat,50.6312,Elevation,400,ft,,,,,,,,,,,,
Station no,1661,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.18,1.87,1.44,2.75,5.61,1.34,4.5,,,,,,,
February,,,,,,,4.59,1.93,2.79,0.7,6,1.96,4.77,,,,,,,
March,,,,,,,1.79,0.96,4.11,5.53,1.01,2.39,7.52,,,,,,,
April,,,,,,,1.35,4.81,3.07,2.81,2.73,2.12,0.45,,,,,,,
May,,,,,,,2.81,3.22,1.76,1.36,2.46,0.79,1.89,,,,,,,
June,,,,,,,1.47,2.41,0.97,2.68,2.18,3.14,7.44,,,,,,,
July,,,,,,,1.18,2.49,2.57,2.75,2.87,0.55,2.93,,,,,,,
August,,,,,,,2.32,1.57,3.66,2.17,5.92,2.05,9.9,,,,,,,
September,,,,,,,1.05,0.71,2.03,1.15,0.27,3,1.61,,,,,,,
October,,,,,,,5.93,7.9,1.69,7.37,6.04,4.15,5.51,,,,,,,
November,,,,,,,3.38,3.28,1.86,1.58,6.08,5.22,3.77,,,,,,,
December,,,,,,,4.23,5.44,3.96,4.97,7.64,,7.17,,,,,,,
Total,,,,,,,36.28,36.59,29.91,35.82,48.81,,57.46,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1911 Dec estimated,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NB Annual values rejected from survey map 1929,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
There are 3x1900 sheets.,,,,,,,,,,,,,,,,,,,,
One has totals only with note monthly values not available,,,,,,,,,,,,,,,,,,,,
1906-1909 are the same as on the 1900 sheet for Rectory (1908 seems to have slight difference probably due to transcription error),,,,,,,,,,,,,,,,,,,,
