SWINDON-NEW (Town Gardens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU151835,Long,-1.783622,Lat,51.550191,Elevation,476,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,3.73,2.85,4.26,3.19,4.64,1.13,3.96,1.5,2.5,2.28,2.06,0.57,3.27,3.76,2.66,4.65,2.5,3.15,2.67,4.51,1.23,1.8,1.92,1.65,,1.42,0.41,3.16,1.84,0.74,1.88,2.45,3.8,1.72,2.87,4.79,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,0.34,4.41,2.5,4.39,1.89,1.1,0.74,2,0.1,3.8,0.12,1.95,1.95,5.02,0.85,1.37,2.09,2.73,0.71,1.11,0.75,2.09,2.5,1.33,,1.53,4.45,4.69,0.61,1.59,2.29,1.54,0.22,2.81,2.97,0.14,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.03,0.4,0.99,2.78,1.98,0.18,1.54,0.19,2.39,3.1,2.3,0.54,1.88,2.84,0.13,1.7,2.3,3.08,1.93,0.91,0.25,1.05,0.97,4.97,,1.52,1.15,3.61,2.7,0.68,2.64,1.45,0.43,2.1,1.21,2.68,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.35,2.03,2.6,1.81,1.69,1.06,2.11,2.71,2.78,1.27,1.91,3.6,1.66,2.86,0.12,3.27,1.22,1.45,1.16,0.6,1.35,0.92,1.98,3.11,,1.79,2.59,2.61,1.55,2.15,0.41,0.57,1.72,0.26,0.98,2.61,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,4.27,2.8,3.72,0.79,0.76,1.93,1.23,3.18,7.06,1.75,0.7,1.6,0.64,2.13,2.05,1.41,1.09,1.47,4.48,2.63,1.07,1.72,3.8,1.53,,2.95,2.86,2.54,2.99,1.74,2.09,4.38,0.44,1.6,2.72,0.85,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,3.19,0.07,2.7,2.98,2.69,1.44,1.19,2.46,0.98,1.93,1.77,3.63,1.99,1.18,0.92,2.09,0.5,1.69,0.32,1.74,1.84,3.4,2.43,1.78,,0.37,2.06,1.54,1.59,1.79,6.26,2.61,1.85,1.72,2.98,1.71,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,4.38,3.54,2.32,4.28,2.6,1.83,2.37,4.64,3.69,2,1.84,0.84,3.84,1.44,2.32,3.76,3.25,1.67,1.8,1.34,2.04,1.33,0.97,1.88,,1.73,4.8,0.9,0.26,2.65,1.99,0.14,1.45,2.78,2.88,1.64,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.32,3.94,1.02,4.96,2.2,1.38,1.63,4.26,1.32,0.86,1.59,2.31,0.33,0.6,3.08,2.18,0.02,3.69,3.78,2.73,2.58,1.94,4.09,0.57,,1.43,2.69,5.68,4,2.95,3.26,0.23,3.43,2.5,3.07,2.03,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.8,3.02,1.13,7.61,1.53,0.27,3.42,2.03,3.44,3.23,1.95,4.38,2.68,1.55,2.95,1.13,0.92,0.57,1.57,1.09,2.22,1.99,4.12,1.39,,1.75,3.2,3.23,1.52,3.05,2.38,0.67,3.52,2.85,3.74,0.54,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.76,3.36,2.88,2.35,4.25,4.04,1.93,0.53,4.98,2.2,1.53,3.9,1.33,3.74,3.71,4.32,3.19,1.71,4.12,3.24,3.42,2.97,1.08,0.64,,6.83,0.95,0.74,3.75,3.84,2.51,1.66,1.36,2.37,2.81,1.71,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
