SWINDON-NEW  (St.Marks-The Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU143846,Long,-1.795115,Lat,51.560102,Elevation,378,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.82,5.1,2.13,4.15,1.4,1.8,0.51,2.11,1.66,2.88,3.39,2.37,4.9,1.94,0.74,0.8,2.96,2.35,0.85,1.98,2.2,3.04,0.6,2.26,0.35,3.86,2.6,1.34,1.02,3.19,3.45,0.53,3.72,0.86,1.31,0.92,2.29,0.97,3.89,3.83,0.7,4.38,1.79,1.29,2.46,3.8,2.79,2.88,2.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.99,1.89,3.16,1.78,1.56,4.03,3.65,2.21,2.02,4.07,1.67,3.19,0.76,0.98,2.26,1.72,0.77,0,1.2,3.21,2.26,0.18,0.28,2.97,1.71,2.89,4.82,1.05,0.9,1.34,3.12,0.6,2.08,1.42,0.82,0.45,3.52,2.12,1.94,1.44,2.97,5.2,4.65,0.52,1.26,2.17,0.95,0.31,3.13,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.87,0.96,4.18,1.75,1.83,1.03,1.98,1.57,2.11,0.96,1.73,1.12,1.92,1.99,3.82,2.64,1.01,1.98,0.74,0.38,1.98,2.13,3.01,3.56,0.57,0.38,0.87,2.46,1.35,3.56,1.3,3.24,1.66,0.9,3.47,3.44,0.63,2.13,4.51,2.97,4.38,1.56,4.26,2.27,0.83,4.11,2.27,1.5,2.28,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.19,1.8,3.21,3.03,2.68,3.72,1.95,0.69,4.08,0.8,1.62,1.65,1.87,1.17,2.09,2.69,1.65,0.97,0.93,0.06,2.28,2.1,0.97,1.73,1.7,2.65,1.31,2.04,1.7,2.22,1.46,2.5,0.8,3.44,3.27,1.42,2.58,1.23,0.07,3.61,1.21,1.25,1.27,1.3,3.32,2.1,5.42,0.64,3.43,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.19,1.95,0.79,2.49,4.48,3.34,1.08,2.32,2.2,2.03,1.14,2.3,3.97,1.53,1.57,2.55,2.1,2.88,1.02,1.28,1.92,0.14,0.3,0.91,2.77,1.89,1.63,2.06,2.07,5.31,2.45,0.16,1.74,1.81,1.86,1.33,1.69,1,1.83,1.69,1.49,3.64,1.99,2.71,1.32,0.2,2.72,1.64,0.85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.63,2.5,1.62,1.01,2.28,4.44,3.11,2.49,4.54,2.3,3.18,2.01,0.77,1.51,2.28,1,2.72,1.52,2.32,1.31,2.76,1.65,1.16,3.17,1.46,1.4,2.33,1.77,3.07,6.54,1.13,4.37,3.34,1.98,0.71,3.18,3.42,2.5,3.61,0.74,2.7,0.75,1.36,2.82,0.69,0.98,2.41,1.07,1.47,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,0.47,4.26,0.61,5.28,2.41,3.74,5.17,1.46,2.45,2.05,2.62,0.22,3.06,0.96,3.7,2.51,4.25,3.14,2.82,3.4,3.51,3.28,1.38,1.07,0.51,0.76,1.18,2.65,0.97,2.22,2.68,0.46,1,2.65,1.99,2.73,1.42,0,2.96,1.5,3.83,2.98,1.93,3.34,4.43,2.36,4.45,0.33,4.34,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.92,0.97,3.27,3.54,3.97,6.08,1.19,5.12,2.28,1.37,1.35,1.65,1.43,2.21,1.92,2.14,2.27,5.94,3.79,1.03,2.84,3.03,2.16,5.42,1.54,1.09,2.09,1.86,3.49,3.84,2.15,4.11,1.33,1.4,3.46,2.47,2.55,0.97,5.03,0.74,2.75,2.74,4.86,5.18,1.94,2.75,1.25,1.59,4.01,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.88,4.06,3.04,5.74,2.33,1.82,2.29,3.48,1.48,2.8,3.38,1.36,3.59,2.33,2.75,1.21,1.3,1.71,1.59,2.89,1.24,2.5,0.97,5.26,2.4,1.36,2.37,0.45,1.44,0.92,2.53,1.35,1.26,0.75,0.56,2.13,3.21,0.36,1.55,1.29,2.08,1.01,1.66,1.27,1.55,7.3,1.79,1.27,2.55,1.35,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.64,3.31,7.55,1.58,2.08,4.09,0.85,6.01,1.41,7.47,1.83,1.06,3.77,3.82,2.39,0.9,2.33,1.52,6.51,3.02,4.36,4.43,3.55,3.46,1.47,3.66,2.41,2.52,1.36,1.43,5.8,0.75,1.67,5.26,6.4,1.35,5.08,3.91,2.29,3.26,3.31,2.82,3.11,4.52,4.51,1.3,1.43,2.23,1.08,1.46,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,2.23,2.51,3.89,3.78,5.35,3,0.5,2.82,3.96,4.43,3.13,1.41,4.71,3.04,2.54,5.4,0.9,2.18,2.3,2.08,1.99,5.42,4.9,0.86,1.03,3.29,2.69,2.14,0.61,1.9,1.83,1.72,3.8,3.55,1.98,1.32,0.81,3.8,3.48,2.29,2.91,4.42,2.08,3.88,0.82,1.96,1.56,0.9,2.13,1.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,0.46,2.29,1.22,7.44,2.12,1.79,0.78,3.55,2.86,3.69,0.73,2.65,1.2,5.46,1.73,2.51,1.4,0.84,4.27,0.93,2.58,2.29,2.04,3.06,3.64,2.77,2.11,4.04,4.14,1.84,1.55,1.99,0.97,1.9,4.32,1.98,3.62,5.69,5.92,3.93,1.53,6.46,5.4,3.37,1.36,2.44,4.84,2.56,1.86,3.04,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,23.25,35.13,37.51,34.91,31.31,32.6,34.5,27.68,39.73,25.53,23.18,27.78,33.33,21.7,28.4,21.98,23.98,33.45,22.59,22.82,34.39,27.01,22.5,29.63,21.69,24.5,25.98,22.78,20.66,39.93,23.55,23.67,27.13,27.72,23.67,28.66,31.86,24.16,34.61,26.35,34.74,34.75,35.15,27.67,29.25,28.09,29.22,17.58,29.16,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
