"SWINDON (TOWN GARDENS)",,,,,,,,,,,,
Grid ref,SU151835,Long,-1.783622,Lat,51.550191,,,,,,,
Station no,1538,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.16,1.84,0.74,1.88,2.45,3.80,1.72,2.87,4.79,3.72,,
February,4.69,0.61,1.59,2.29,1.54,0.22,2.81,2.97,0.14,2.03,,
March,3.61,2.70,0.68,2.64,1.45,0.43,2.10,1.21,2.68,1.88,,
April,2.61,1.55,2.15,0.41,0.57,1.72,0.26,0.98,2.61,1.62,,
May,2.54,2.99,1.74,2.09,4.38,0.44,1.60,2.72,0.85,1.09,,
June,1.54,1.59,1.79,6.26,2.61,1.85,1.72,2.98,1.71,3.34,,
July,0.90,0.26,2.65,1.99,0.14,1.45,2.78,2.88,1.64,3.50,,
August,5.68,4.00,2.95,3.26,0.23,3.43,2.50,3.07,2.03,3.39,,
September,3.23,1.52,3.05,2.38,0.67,3.52,2.85,3.74,0.54,3.59,,
October,0.74,3.75,3.84,2.51,1.66,1.36,2.37,2.81,1.71,4.93,,
November,5.78,3.88,1.31,5.47,2.06,0.71,2.44,2.56,2.83,4.12,,
December,2.03,2.00,0.83,2.38,2.76,3.38,2.59,2.97,5.68,4.86,,
Total,36.51,26.69,23.32,33.56,20.52,22.31,25.74,31.76,27.21,38.07,,
Calc annual,36.51,26.69,23.32,33.56,20.52,22.31,25.74,31.76,27.21,38.07,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
