AFTON RESERVOIR (AFTON WATER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS637024,Long,-4.148268,Lat,55.296781,Elevation,1525,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5273/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,15.39,10.9,15.3,6.4,8.2,15.4,15.5,7.7,2.4,2,9.7,10.9,10.4,5.9,11.1,8.8,10.7,8.3,6,7.9,8.6,4.5,8.1,7.75,6.35,11.5,11.2,5.45,8.3
February,,0.19,7.53,1.7,12.4,3.6,8.6,7.2,10.6,3.7,7.4,3.7,8.8,4.4,12.7,6.5,1.1,7.8,8.1,7.1,6.65,4.26,2.8,7,2.85,2.55,6.6,7.6,3.75,11
March,,4.9,4.85,4.9,4.6,6.2,2.6,7.4,9.9,9.1,4.5,7.8,4.5,1.6,5.6,3.8,7.5,6.8,3.95,7.2,4.65,4.6,1.4,5.8,2.6,5.05,9.35,2.7,7.6,3
April,,7.53,5.5,6,6.08,2.1,4.6,1.5,5,3.7,3.7,5.5,6.9,5,4.3,3.3,10.9,4.7,9.6,7.2,4.75,5.6,4.95,3.3,5.32,2.95,4.8,3.4,8.1,8.3
May,,3.08,5.58,8,1.3,2.8,3.4,8.3,1.7,2.1,6.7,5.5,6.9,4.6,6.3,1.6,6.5,2.4,3.4,3.35,3,3.46,4.1,7.5,6.55,4.5,5.65,5.15,2.6,3.4
June,,3.61,5,3.5,10.5,3.5,4.7,11.8,6.4,2.4,2.2,1.8,9.1,6.1,7.2,6,7.1,8.85,1.85,6.1,2.8,5.1,2.9,7.25,5.55,8.7,3.15,5.75,4.55,6.55
July,,8.71,9.92,5.7,5.2,9.4,8.75,10.5,8.5,7.3,5.2,8.2,4.1,6.2,6.1,7.2,6.4,4.75,2.9,9.85,5.05,8.1,8.4,8.95,2.95,10.1,7.55,6.3,9.5,6.75
August,,3.75,5.55,9.3,3,7.3,5.3,7.2,2.2,5.2,10.7,12.1,9.8,5.6,2.8,6.2,0.1,9.75,6.45,9.1,12.4,7.6,6.2,7.3,3.1,11.25,9.2,8.1,3.1,5.65
September,,11.8,1.9,13.2,11.2,9,6,8.4,3.8,9.45,6.1,9.5,5.8,8.8,10.8,12.5,9.2,10.5,3.6,18.8,8.4,4.8,10.1,13.2,8.8,8.85,7.2,9.5,3,6.3
October,,12.9,5.6,16.3,17.7,10.6,6.4,15.4,5.2,9.25,7.8,12.2,15.1,9,8.1,1.2,3.75,8.2,9.85,7.8,1.85,7.5,6,13.6,7,6.55,8.85,7.2,10.65,6.5
November,,7.12,3.3,3.2,10.4,8.8,1.6,14.8,14.9,10.3,9.1,2.8,7.1,11.4,1.4,13.5,10.2,6.15,11.8,6.2,16.7,4.3,11.1,16.9,5.45,4.8,4.5,4.35,13.75,15
December,,18.16,3.5,17,8.3,13,3.4,7.9,5.2,12.2,6.1,14.1,5.4,11,7.9,7.5,5.7,11.2,14.5,3.95,13.3,7.35,8.2,13.9,12.6,12.6,9.7,9.05,15.6,8.25
Total,,97.14,69.13,104.1,97.08,84.5,70.75,115.9,81.1,77.1,71.5,92.9,94.4,84.1,79.1,80.4,77.25,91.8,84.3,92.65,87.45,71.27,70.65,112.8,70.52,84.25,88.05,80.3,87.65,89
