"AFTON RES (AFTON WATER)",,,,,,,,,,,,
Grid ref,NS637024,Long,-4.148268,Lat,55.296781,,,,,,,
Station no,5273/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.90,8.60,4.50,8.10,7.75,6.35,11.50,11.20,5.45,8.30,,
February,6.65,4.26,2.80,7.00,2.85,2.55,6.60,7.60,3.75,11.00,,
March,4.65,4.60,1.40,5.80,2.60,5.05,9.35,2.70,7.60,3.00,,
April,4.75,5.60,4.95,3.30,5.32,2.95,4.80,3.40,8.10,8.30,,
May,3.00,3.46,4.10,7.50,6.55,4.50,5.65,5.15,2.60,3.40,,
June,2.80,5.10,2.90,7.25,5.55,8.70,3.15,5.75,4.55,6.55,,
July,5.05,8.10,8.40,8.95,2.95,10.10,7.55,6.30,9.50,6.75,,
August,12.40,7.60,6.20,7.30,3.10,11.25,9.20,8.10,3.10,5.65,,
September,8.40,4.80,10.10,13.20,8.80,8.85,7.20,9.50,3.00,6.30,,
October,1.85,7.50,6.00,13.60,7.00,6.55,8.85,7.20,10.65,6.50,,
November,16.70,4.30,11.10,16.90,5.45,4.80,4.50,4.35,13.75,15.00,,
December,13.30,7.35,8.20,13.90,12.60,12.60,9.70,9.05,15.60,8.25,,
Total,87.45,71.27,70.65,112.80,70.52,84.25,88.05,80.30,87.65,89.00,,
Calc annual,87.45,71.27,70.65,112.80,70.52,84.25,88.05,80.30,87.65,89.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
