"GREAT HEY",,,,,,,,,,,,
Grid ref,SE104042,Long,-1.844562,Lat,53.534352,,,,,,,
Station no,3177/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.55,8.07,4.70,6.22,4.84,7.78,6.31,6.95,6.92,7.84,,
February,7.87,3.19,3.34,4.60,3.13,2.35,4.72,9.30,0.76,3.41,,
March,9.73,3.89,4.74,3.78,3.62,2.85,4.90,4.07,2.50,2.71,,
April,4.83,4.48,5.63,1.53,3.05,3.54,0.71,2.73,6.90,4.26,,
May,4.30,2.81,3.45,4.66,7.19,2.40,2.10,5.49,2.50,2.61,,
June,2.07,4.11,4.81,4.03,4.71,4.31,2.24,6.48,2.48,2.64,,
July,4.82,3.40,9.05,8.81,2.07,10.47,6.65,6.22,5.05,9.20,,
August,8.38,5.42,6.42,8.71,1.20,14.54,8.24,5.77,1.11,6.91,,
September,4.22,6.57,4.38,8.95,3.83,5.71,8.90,6.11,0.40,4.39,,
October,1.55,8.60,2.92,12.39,4.57,4.80,8.87,5.68,6.22,9.09,,
November,13.52,5.03,6.43,10.82,2.64,3.94,3.79,1.99,6.36,9.19,,
December,12.67,6.86,3.15,12.98,9.21,6.78,8.12,6.22,11.25,7.91,,
Total,82.51,62.43,59.02,87.48,50.06,69.47,65.55,67.01,52.45,70.16,,
Calc annual,82.51,62.43,59.02,87.48,50.06,69.47,65.55,67.01,52.45,70.16,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
