GREAT-HEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE104042,Long,-1.8445622,Lat,53.534352,Elevation,1200,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3177/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,11.27,8.04,4.9,6.44,3.83,6.15,8.65,9.93,9.82,2.42,5.42,6.95,8.09,13.29,6.84,9.47,6.86,16.41,4.6,5.28,8.55,8.07,4.7,6.22,4.84,7.78,6.31,6.95,6.92,7.84
February,10.82,0.56,8.35,0.41,11.02,4.4,9.84,3.52,7.68,3.43,9.14,2.18,6.28,4.1,9.5,11.16,3.67,6.39,5,12.05,7.87,3.19,3.34,4.6,3.13,2.35,4.72,9.3,0.76,3.41
March,1.12,4.83,4.03,5.35,3.29,5.29,4.81,2.56,4.75,5.5,7.11,3.92,3.24,1.15,2.33,2.72,10.71,3.14,3.1,4.18,9.73,3.89,4.74,3.78,3.62,2.85,4.9,4.07,2.5,2.71
April,7.09,8.19,2.33,3.94,5.58,2.87,4.26,0.95,4.04,5.07,4.49,3.44,4.15,4.45,4.38,2.64,6.22,3.72,8.16,8.17,4.83,4.48,5.63,1.53,3.05,3.54,0.71,2.73,6.9,4.26
May,4.37,7.21,2.16,4.83,1.03,2.12,3.28,5.79,2.69,1.06,4.66,4.55,4.29,6.94,4.88,3.01,4.27,2.47,3.57,3.42,4.3,2.81,3.45,4.66,7.19,2.4,2.1,5.49,2.5,2.61
June,6.66,0.62,4.24,2.87,5.14,5.22,3.26,6.5,4.24,1.02,1.94,1.55,4.92,4.13,6.49,5.15,4.22,7.34,1.64,3.1,2.07,4.11,4.81,4.03,4.71,4.31,2.24,6.48,2.48,2.64
July,6.63,7.26,6.27,4.65,3.14,5.67,4.06,6.23,10.54,6.41,2.46,6.68,3.65,3.75,2.46,7.01,3.57,3.03,3.83,4.32,4.82,3.4,9.05,8.81,2.07,10.47,6.65,6.22,5.05,9.2
August,8.78,2.84,1.44,4.65,3.17,3.5,2.06,5.77,2.92,3.54,8.58,7.49,8.36,6.03,4.28,6.95,0.44,7.01,4.77,6.31,8.38,5.42,6.42,8.71,1.2,14.54,8.24,5.77,1.11,6.91
September,6.29,8.4,2.96,4.23,9.69,9.18,2.66,3.3,2.61,7.47,0.72,4.24,6.69,8.47,4.05,10.4,3.35,3.64,2.15,10.51,4.22,6.57,4.38,8.95,3.83,5.71,8.9,6.11,0.4,4.39
October,3.91,11.67,7.38,9.75,15.8,9.13,3.88,15.44,4.18,6.93,7.55,9.9,3.61,7.65,9.16,2.96,1.74,4.42,5.78,4.57,1.55,8.6,2.92,12.39,4.57,4.8,8.87,5.68,6.22,9.09
November,7.88,6.88,3.29,4.24,10.38,9.73,3.98,8.19,12.38,11.88,5.16,2.21,6.24,12.12,1.11,11.95,10.32,3.87,10.9,11.31,13.52,5.03,6.43,10.82,2.64,3.94,3.79,1.99,6.36,9.19
December,3.74,3.13,1.1,6.6,5.36,6.66,4.54,6.84,7.55,8.64,4.88,6.31,4.15,7.4,4.34,6.13,7.86,6.06,15.28,5.46,12.67,6.86,3.15,12.98,9.21,6.78,8.12,6.22,11.25,7.91
Total,78.56,69.63,48.45,57.96,77.43,69.92,55.28,75.02,73.4,63.37,62.11,59.42,63.67,79.48,59.82,79.55,63.23,67.5,68.78,78.68,82.51,62.43,59.02,87.48,50.06,69.47,65.55,67.01,52.45,70.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Great Hey at the stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2681, continues to 1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb and Mar 1947 part estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
