LEDBURY PUTLEY COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO644377,Long,-2.520389,Lat,52.036552,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,2.51,3.68,3.09,2.4,4.68,2.28,0.73,0.72,3.26,1.76,1.73,2.15,2.37,4.34,0.55,2.08,0.48,4.64,3.53,1.8,0.84,3.38,3.24,1.13,4.08,1.74,0.99,1.3,2.96,0.95,4.07,4.65,0.94,3.32,1.16,1.42,2.62,3,3.85,3.23,4.33,1.32,4.03,2.55,3.87,,,,,
February,,,3.38,3.63,2,3.39,0.87,0.51,1.06,1.61,0.67,0.11,1.72,2.54,2.29,0.11,0.33,2.68,1.54,2.69,5.67,1.09,1.29,1.92,4.59,1.07,1.68,1.04,1.16,0.7,4.04,1.62,2,1.38,2.65,3.86,4.56,1.35,1.07,2.96,0.91,0.21,3.41,6.21,0.42,4.03,2.09,,,,,
March,,,0.94,1.02,2.64,1.28,3.07,1.39,3.06,3.08,1.06,1.82,0.68,0.31,1.22,2.12,2.75,3.52,0.56,0.54,1.19,2.3,1.64,3.67,1.57,3.73,1.21,0.68,3.22,3.1,1.03,2.48,5.04,5.92,3.01,0.78,4.79,3.28,1.61,4.76,3.61,1.65,2.99,1.57,1.69,0.51,0.56,,,,,
April,,,3.49,0.99,1.35,2.46,2.53,0.99,1.46,4.81,1.01,1.33,0.64,0.31,1.91,2.29,0.65,2.18,1.83,2.26,1.41,2.66,2.38,2.2,1.27,2.82,1.33,2.74,3.5,2.3,2.32,1.4,0.25,4.06,1.5,1.13,1.08,1.59,2.54,1.81,4.62,0.81,3.11,2.79,2.98,2.06,2.37,,,,,
May,,,1.98,1.5,0.71,2.71,5.9,2.03,0.9,4.52,2,3.69,1.35,2.08,3.01,0.49,0.24,1.15,4.45,2.27,2.66,0.92,2.21,4.95,2.25,0.56,3.25,2.54,1.57,0.82,2.69,2.22,2.99,3.1,1.91,3.27,3.32,4.56,1.71,0.74,1.94,1.33,0.91,1.58,6.73,2.97,3.29,,,,,
June,,,2.85,4.93,2.85,2.39,0.86,1.61,3,0.32,1.64,2.18,1.78,1.18,1.83,0.84,1.34,2.55,0.66,2.26,1.87,2.54,3.47,3.05,0.75,3.17,3.18,2.56,1.62,2.02,3.3,1.39,5.15,0.76,2.48,1.01,1.46,2.84,0.83,1.1,3.12,0.89,0.92,0.39,2.98,0,1.4,,,,,
July,,,4.06,3.28,3.18,0.74,2.32,0.92,6.55,2.99,2.18,2.05,4.8,2.12,2.43,2.12,1.4,1.59,0.91,0.75,2.78,3.12,1.33,3.42,2.59,1.01,0.74,2.41,2.72,2.62,1.57,0.17,4.45,0.89,3.94,5.54,2.02,1.64,2.54,2.89,5.08,0.35,4.27,3.66,4.93,3.02,2.59,,,,,
August,,,2.6,1.05,2.15,2.28,1.62,2.16,2.03,2.84,3.44,5.12,2.74,1.26,3.01,2.28,1.29,3.78,1.75,0.99,3.08,2.08,3.49,3.71,1.93,5.12,1.08,2.07,3.16,1.94,5.83,1.78,7.54,1.5,1.35,2.32,3.88,5.69,1.43,2.46,0.95,3.04,2.92,1.77,3.34,3.08,,,,,,
September,,,2.44,4.77,1.27,3.33,2.85,1.75,1.01,1.74,1.44,1.17,2.71,0.97,2.37,0.23,5.03,2.57,0.4,2.9,0.57,1.93,1.95,3.62,2.38,1.61,0.56,0.84,2.33,3.41,0.53,1.71,0.99,3.52,1.31,0.81,1.11,2.13,5.74,1.47,2.13,1.25,1.89,2.15,5.24,3.86,,,,,,
October,,,5.54,3.18,0.93,2.98,4.51,2.27,0.74,3.65,1.65,6.59,1.89,2.18,3.48,1.48,2.64,1.49,3.56,2.63,2.65,1.29,3.21,6.43,0.61,1.45,5.35,7.58,1.69,3.7,3.96,2.1,3.68,6.08,1.78,4.62,4.92,3.06,1.41,2.49,3.06,1.43,0.51,5.54,4.1,3.19,,,,,,
November,,,4.32,3.68,2.14,3.04,2.49,2.66,8.04,1.16,2.41,2.6,2.55,1.24,3.66,4.58,0.77,2.19,1.65,2,2.38,0.79,2.95,1.77,1.58,2.82,3.04,2.22,1.75,1.06,4.29,3.49,1.66,2.89,3.12,1.72,2.81,1.18,2.18,1.87,0.84,2.24,1.36,1.6,2.67,1.59,,,,,,
December,,,3.58,0.65,2.58,1.04,3.77,2.31,3.44,1.83,1.41,3.59,1.04,3.71,2.3,2.42,3.28,3.48,2.94,2.81,4.99,4.44,1.75,2.19,2.26,0.67,1.93,3.66,2.89,4,5.47,6.91,3.42,1.05,5.86,5.49,1.96,0.66,2.68,4.06,2.73,1.69,3.97,2.14,3.58,3.55,,,,,,
Total,,,37.69,32.36,24.89,28.04,35.47,20.88,32.02,29.27,22.17,32.01,23.63,20.05,29.88,23.3,20.27,29.26,20.73,26.74,32.78,24.96,26.51,40.31,25.02,25.16,27.43,30.08,26.6,26.97,37.99,26.22,41.24,35.8,29.85,33.87,33.07,29.4,26.36,29.61,32.84,18.12,30.59,30.72,42.69,30.41,,,,,,
