ASHOPTON-COCKBRIDGE-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK192862,Long,-1.7128875,Lat,53.372316,Elevation,620,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,6.4,,,,,,,5.34,2.32,3.59,2.6,4.64,2.13,6.03,4.93,3.25,,,,,
February,,,,,,,,,,1.89,,,,,,,4.35,3.25,4.26,3.43,4.5,4.98,2.22,1.69,2.68,,,,,
March,,,,,,,,,,2.19,,,,,,,4.17,4.5,4.1,4.64,1.06,2.08,4.2,5.17,4.98,,,,,
April,,,,,,,,,,3.7,,,,,,,1.79,3.51,3.16,2.32,3.93,2.81,1.45,3.67,1.94,,,,,
May,,,,,,,,,,3.09,,,,,,,2.39,4.02,3.16,2.56,2.86,0.96,3.33,2.49,2.48,,,,,
June,,,,,,,,,,2.34,,,,,,,1.58,5.64,3.12,4.03,2.95,2.56,4.24,2.13,2.95,,,,,
July,,,,,,,,,,1.51,,,,,,,2.53,2.44,4,4.54,4.03,0.32,6.08,1.13,4.18,,,,,
August,,,,,,,,,,1.01,,,,,,,3.51,3.87,3.84,2.04,5.08,2.03,7.34,1.43,1.92,,,,,
September,,,,,,,,,0.68,6.86,,,,,,,1.25,0.64,3.04,3.09,0.45,3.24,1.93,2.7,2.77,,,,,
October,,,,,,,,,4.96,3.9,,,,,,,5.76,6.42,1.47,4.96,3.25,3.19,3.79,5.28,3.34,,,,,
November,,,,,,,,,3.82,2.29,,,,,,,5.49,4.07,3.34,1.52,5.84,5.04,3.27,4.65,6.69,,,,,
December,,,,,,,,,4.63,3.31,,,,,,,4.32,3.12,2.64,9.69,7.94,7.58,5.95,3.64,7.94,,,,,
Total,,,,,,,,,,38.49,44.22,40.83,34.06,47.53,34.64,35.21,42.48,43.8,39.72,45.42,46.53,36.92,49.83,38.91,45.12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Cockbridge Farm. Altitudes match. Location is now submerged under Lady Bower Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
