SKELDALE HARPER HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE196702,Long,-1.7015773,Lat,54.127285,Elevation,859,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,5.21,1.66,1.86,1.43,5.08,8.17,1.29,2.22,2.54,5.66,5.08,2.59,1.66,4.52,3.6,1.06,6.44,2.21,2.72,1.6,5.47,2.06,4.72,4.34,,,,,,
February,,,,,,,,,,,1.03,0.1,3.08,4.49,6.09,1.07,0.74,3.78,2.25,2.22,6.44,2.02,1.95,4.73,3.93,1.93,3.4,2.59,2.44,0.94,3.74,3.34,2.62,1.84,,,,,,
March,,,,,,,,,,,2.87,1.65,0.84,1.44,2.9,2.95,3.7,5.86,1.13,1.7,0.73,3.19,1.29,6.59,2.6,4.26,3.51,3.67,4.99,4.25,0.68,1.68,4.42,5.8,,,,,,
April,,,,,,,,,,,1.22,3.61,1.54,0.64,3.6,2.85,1.38,2.02,3.43,2.95,2.11,2.26,1.69,1.88,2.43,3.17,0.82,2.26,2.48,3.35,3.08,1.13,0.41,3.31,,,,,,
May,,,,,,,,,,2.36,2.54,2.75,3.11,2.58,2.11,0.51,0.55,1.13,2.52,4.21,1.52,1.22,2.93,5.73,3.73,0.9,3.93,4.64,3.33,1.93,2.02,1.94,2.78,2.38,,,,,,
June,,,,,,,,,,0.33,3.58,1.2,4.18,2.2,3.53,3.03,3.22,3.38,2.43,1.56,2.81,1.47,1.71,1.98,1.25,1.43,0.97,5.08,1.54,2.3,2.33,2.75,7.07,2.1,,,,,,
July,,,,,,,,,,2.6,1.7,3.27,1.63,2.46,3.01,5.11,2.29,1.7,1.85,2.6,2.2,2.47,2.14,3.05,2.86,0.87,1.59,1.84,2.94,3.72,3.04,0.43,4.33,0.98,,,,,,
August,,,,,,,,,,4.55,4.65,5.07,4.56,3.76,2.79,2.68,2.59,4.73,4.15,1.71,5.85,1.78,2.65,3.46,3.79,4.75,4.34,2.13,2.7,3.47,5.28,3.02,6.55,1.52,,,,,,
September,,,,,,,,,,1.08,2.15,2.29,1.72,1.89,0.78,1.53,6.31,2.11,0.98,4.25,0.91,1.19,1.42,4.57,1.42,3.29,0.81,0.59,3.36,2.59,0.34,2.48,1.94,2.37,,,,,,
October,,,,,,,,,,5.27,0.94,4.41,8.46,2.55,5.98,3.77,4.73,2.24,6.58,3.81,4.3,1.8,3.31,8.14,0.87,2.52,7.49,6.2,2.29,3.39,4.44,4,3.4,3.3,,,,,,
November,,,,,,,,,,0.66,3.42,4.23,2.17,1.68,2.16,5.83,1.78,2.38,2.62,2.77,3.53,3.98,2.71,1.81,2.38,8.05,4.63,2.97,1.76,1.51,3.6,4.51,2.38,3.38,,,,,,
December,,,,,,,,,,1.69,1.5,5.14,0.95,3.62,3,3.19,5.35,4.4,4.86,3.46,3.43,3.74,4.36,2.49,2.53,1.65,3.06,4.91,1.42,5.21,4.06,5.5,4.44,1.43,,,,,,
Total,,,,,,,,,,,30.81,35.38,34.1,28.74,41.03,40.69,33.93,35.95,35.34,36.9,38.91,27.71,27.82,48.95,31.39,33.88,40.99,39.09,31.97,34.26,38.08,32.84,45.06,32.75,,,,,,
