BRUMBY SECONDARY MODERN SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SE897098,Long,-0.647,Lat,53.577,Elevation,100,ft,,,,,,,,,,,,
Station no,2585/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954
January,1.95,3.53,3.69,1.73,4.22,2.82,2.83,2.67,3.81,2.26,2.98,2.57,2.11,4.16,0.90,1.01,,1.68,0.91,
February,2.71,2.87,2.56,1.15,1.25,2.10,2.97,0.83,0.62,1.56,1.65,2.95,2.90,1.09,0.47,3.73,2.45,0.51,1.74,2.20
March,0.75,1.06,2.13,0.25,2.19,1.73,3.08,1.73,0.49,0.38,0.60,1.73,4.74,0.50,1.34,1.26,3.31,2.25,0.54,1.40
April,2.04,1.79,3.95,0.21,2.19,2.53,1.06,1.10,0.77,2.51,1.37,1.31,1.57,1.42,1.76,2.94,0.70,1.18,2.00,0.04
May,0.39,1.61,3.23,3.16,1.28,0.98,1.56,3.11,2.27,1.89,1.56,1.40,1.06,1.55,1.39,2.47,3.72,1.33,2.44,3.00
June,2.61,3.72,2.12,1.82,2.19,1.05,0.39,1.46,2.28,2.00,3.16,2.33,2.38,3.15,0.46,1.05,0.99,2.55,1.32,
July,0.29,3.65,3.51,4.08,4.12,6.80,4.14,1.96,1.70,1.75,2.46,2.41,2.03,1.29,3.39,2.48,1.01,2.03,2.20,
August,1.61,1.82,0.56,3.98,4.40,0.92,3.84,2.77,2.59,4.04,2.39,5.38,0.20,3.08,2.32,2.24,4.97,1.18,,
September,3.51,2.62,0.73,2.31,0.99,1.13,0.59,1.77,3.28,3.42,1.15,3.55,0.72,1.64,0.84,,1.34,1.95,,
October,3.10,1.93,2.18,3.05,3.07,3.79,3.25,2.12,1.81,2.84,2.27,1.18,0.97,1.66,2.85,,1.29,2.04,,
November,3.74,2.42,1.66,2.30,4.51,5.05,2.75,1.65,1.98,4.25,0.78,5.02,1.48,1.22,3.90,,4.36,2.23,,
December,2.43,1.27,4.76,3.89,2.08,2.23,0.51,1.97,0.95,1.30,1.27,2.64,2.13,2.68,1.28,,1.27,1.62,,
Total,25.13,28.29,31.08,27.93,32.49,31.13,26.97,23.14,22.55,28.20,21.64,32.47,22.29,23.44,20.90,,,20.55,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/185,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/267,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/274,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# The reading for January 1951 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,
